E- (meV)	EVR84_360K_0.35A-1	E+ (meV)	EVR84_360K_0.35A-1	E- (meV)	EVR84_360K_0.45A-1	E+ (meV)	EVR84_360K_0.45A-1	E- (meV)	EVR84_360K_0.55A-1	E+ (meV)	EVR84_360K_0.55A-1	E- (meV)	EVR84_360K_0.65A-1	E+ (meV)	EVR84_360K_0.65A-1	E- (meV)	EVR84_360K_0.75A-1	E+ (meV)	EVR84_360K_0.75A-1	E- (meV)	EVR84_360K_0.85A-1	E+ (meV)	EVR84_360K_0.85A-1	E- (meV)	EVR84_360K_0.95A-1	E+ (meV)	EVR84_360K_0.95A-1	E- (meV)	EVR84_360K_1.05A-1	E+ (meV)	EVR84_360K_1.05A-1	E- (meV)	EVR84_360K_1.15A-1	E+ (meV)	EVR84_360K_1.15A-1	E- (meV)	EVR84_360K_1.25A-1	E+ (meV)	EVR84_360K_1.25A-1	E- (meV)	EVR84_360K_1.35A-1	E+ (meV)	EVR84_360K_1.35A-1	E- (meV)	EVR84_360K_1.45A-1	E+ (meV)	EVR84_360K_1.45A-1	E- (meV)	EVR84_360K_1.55A-1	E+ (meV)	EVR84_360K_1.55A-1	E- (meV)	EVR84_360K_1.65A-1	E+ (meV)	EVR84_360K_1.65A-1	E- (meV)	EVR84_360K_1.75A-1	E+ (meV)	EVR84_360K_1.75A-1	E- (meV)	EVR84_360K_1.85A-1	E+ (meV)	EVR84_360K_1.85A-1
0.0028999625	0.18574646926610575	0.0030000377	0.20257230182437924	0.0028999625	0.1542177236515557	0.0030000377	0.1664020820372342	0.0028999625	0.1287926505707059	0.0030000377	0.13813033925116985	0.0028999625	0.10555755503615867	0.0030000377	0.1115893543897017	0.0028999625	0.0890538122347651	0.0030000377	0.09278427686911883	0.0028999625	0.07084980303120353	0.0030000377	0.0762822275097037	0.0028999625	0.057376154725692304	0.0030000377	0.06328986064987242	0.0028999625	0.04853189715939403	0.0030000377	0.052038009600544444	0.0028999625	0.04155457724262219	0.0030000377	0.04217339757580225	0.0028999625	0.03555862383300098	0.0030000377	0.03604243765855687	0.0028999625	0.031236496036134966	0.0030000377	0.030559657160685403	0.0028999625	0.024989283760749204	0.0030000377	0.02634209229122918	0.0028999625	0.02065852386699969	0.0030000377	0.021662625801330198	0.0028999625	0.017929395922436617	0.0030000377	0.01852937987695808	0.0028999625	0.0143338808719882	0.0030000377	0.013988355368031943	0.0028999625	-0.00032429424101226606	0.0030000377	-0.00033542240658303237
0.0087999627	0.494047186847745	0.008900038	0.5757625282841606	0.0087999627	0.402607517812432	0.008900038	0.47033862455407904	0.0087999627	0.3467343175630993	0.008900038	0.3922509226168264	0.0087999627	0.2974599289055589	0.008900038	0.3211229677982037	0.0087999627	0.2457540595085092	0.008900038	0.26160677825787887	0.0087999627	0.20593079261636152	0.008900038	0.22526185173603896	0.0087999627	0.16846363043601836	0.008900038	0.17397130205244946	0.0087999627	0.1417301411633985	0.008900038	0.1447411319463154	0.0087999627	0.12172875525203117	0.008900038	0.12359191073279541	0.0087999627	0.10771035602312254	0.008900038	0.10526937205016426	0.0087999627	0.09216465861147023	0.008900038	0.09176821637396838	0.0087999627	0.07527187919361264	0.008900038	0.07880236319515459	0.0087999627	0.06369814371031217	0.008900038	0.0616811434107866	0.0087999627	0.052195232458884765	0.008900038	0.05180869671333344	0.0087999627	0.041651048663637384	0.008900038	0.03948863059582305	0.0087999627	-0.0009842586902348226	0.008900038	-0.0009948916809202333
0.014699963	0.6269736943693904	0.014800038	0.7903190613650147	0.014699963	0.5489114388190137	0.014800038	0.6727859040972153	0.014699963	0.47939734740345225	0.014800038	0.5713855967371044	0.014699963	0.4184154134121701	0.014800038	0.46401734998038546	0.014699963	0.3682404956565865	0.014800038	0.38650471343311293	0.014699963	0.31114487186374934	0.014800038	0.32184257660802057	0.014699963	0.2484388885830474	0.014800038	0.2642302538120192	0.014699963	0.2157454279975734	0.014800038	0.23206054281806687	0.014699963	0.1868095389879447	0.014800038	0.2064281410671941	0.014699963	0.1670466863125319	0.014800038	0.17351928917670137	0.014699963	0.14650669220613277	0.014800038	0.14931065967557827	0.014699963	0.1228785569384322	0.014800038	0.12112672490949632	0.014699963	0.10632548004543517	0.014800038	0.10334531569250693	0.014699963	0.08820716872246609	0.014800038	0.08122675811714472	0.014699963	0.07156072133667056	0.014800038	0.0629746575400237	0.014699963	-0.0016444713696162534	0.014800038	-0.0016541141041791305
0.020599963	0.5968062513996681	0.020700038	0.8133494400132009	0.020599963	0.5399044116095374	0.020700038	0.7123348533615889	0.020599963	0.5111104810024855	0.020700038	0.6389990718788521	0.020599963	0.47838892436187097	0.020700038	0.513783749006195	0.020599963	0.42099768339041105	0.020700038	0.46074682811485773	0.020599963	0.3692774610370172	0.020700038	0.39345854836661126	0.020599963	0.32720396368327265	0.020700038	0.33885045808367104	0.020599963	0.27193142999212877	0.020700038	0.28806016943871077	0.020599963	0.23927817499173634	0.020700038	0.25810621140963574	0.020599963	0.21469142091394414	0.020700038	0.1998883879491458	0.020599963	0.18887321726975376	0.020700038	0.18616581719878922	0.020599963	0.16059173469140683	0.020700038	0.1510292340476913	0.020599963	0.1332703002184409	0.020700038	0.1315391413666944	0.020599963	0.10660073426251605	0.020700038	0.11303055595818823	0.020599963	0.09328719407546841	0.020700038	0.08156162106209913	0.020599963	-0.002304932860567171	0.020700038	-0.002313089886822796
0.026499963	0.47717956106517784	0.026600039	0.6943607986919887	0.026499963	0.4695949029557452	0.026600039	0.6727967164496689	0.026499963	0.45787740784561975	0.026600039	0.6399891770266618	0.026499963	0.4600458069052023	0.026600039	0.5402401070702776	0.026499963	0.4433697504084773	0.026600039	0.4785393841110427	0.026499963	0.3860794697191404	0.026600039	0.4299419994573335	0.026499963	0.3665080888971024	0.026600039	0.36624186524631064	0.026499963	0.3179464688470417	0.026600039	0.3262998181664979	0.026499963	0.28467154266622935	0.026600039	0.29697918562113773	0.026499963	0.2664777652285599	0.026600039	0.2426744129419509	0.026499963	0.21890510826290982	0.026600039	0.22192953571591129	0.026499963	0.1852000327278721	0.026600039	0.17724844830794567	0.026499963	0.17169436750911354	0.026600039	0.1646313975359464	0.026499963	0.13770138650531696	0.026600039	0.13207036492733978	0.026499963	0.10675652212923403	0.026600039	0.09695170631842058	0.026499963	-0.002965643525194934	0.026600039	-0.002971819916643998
0.032399964	0.34699297891105524	0.032500039	0.5818819254208214	0.032399964	0.382233950394871	0.032500039	0.5378091351127903	0.032399964	0.3801614464249443	0.032500039	0.5346423919092399	0.032399964	0.4245705527882064	0.032500039	0.48486497036739806	0.032399964	0.4139718018898563	0.032500039	0.4573304757160105	0.032399964	0.4025486059446086	0.032500039	0.42300758864761356	0.032399964	0.3704982308832275	0.032500039	0.37540634087723124	0.032399964	0.34817781090247946	0.032500039	0.3459303130335062	0.032399964	0.29383605560266474	0.032500039	0.31509972187010316	0.032399964	0.2744058417458273	0.032500039	0.2619309067802558	0.032399964	0.254200539899033	0.032500039	0.24721741613776177	0.032399964	0.22184270664796774	0.032500039	0.21397531982717516	0.032399964	0.18977881297265362	0.032500039	0.18224283777832342	0.032399964	0.16603832464336765	0.032500039	0.1444010032141285	0.032399964	0.1270977799376981	0.032500039	0.11807782040422449	0.032399964	-0.0036266038933162343	0.032500039	-0.0036303045659305247
0.038299964	0.2566768764919706	0.038400039	0.41268309261360825	0.038299964	0.32280443227019384	0.038400039	0.43162974556637945	0.038299964	0.3477697152517527	0.038400039	0.45465772309213304	0.038299964	0.3755703035322292	0.038400039	0.42148511740826866	0.038299964	0.3907052370728267	0.038400039	0.4448230281213762	0.038299964	0.39491667827945526	0.038400039	0.42898188627434364	0.038299964	0.3569549261559043	0.038400039	0.38840341250499627	0.038299964	0.3433343611294753	0.038400039	0.368910546516285	0.038299964	0.324124744217792	0.038400039	0.33838932112091713	0.038299964	0.29360413503322147	0.038400039	0.2796010425775508	0.038299964	0.27774332312918865	0.038400039	0.2650277897926911	0.038299964	0.23993195494824077	0.038400039	0.23484242704205677	0.038299964	0.2023531736645082	0.038400039	0.19133854929718686	0.038299964	0.19116712941691458	0.038400039	0.1667268462176859	0.038299964	0.1498213213798662	0.038400039	0.13459123228614783	0.038299964	-0.004287814158954849	0.038400039	-0.004288543764577032
0.044199964	0.2116879835899709	0.044300039	0.3204854249538421	0.044199964	0.26777698213751555	0.044300039	0.3331545521339022	0.044199964	0.3223775196409152	0.044300039	0.37101260501075994	0.044199964	0.36472498684607874	0.044300039	0.3856706187357549	0.044199964	0.3846942733111713	0.044300039	0.4145772184615598	0.044199964	0.3938082456005987	0.044300039	0.4050543982496303	0.044199964	0.37334185137272724	0.044300039	0.3920341088703689	0.044199964	0.348649324480373	0.044300039	0.3518656712471297	0.044199964	0.3196811960270488	0.044300039	0.31798037946837937	0.044199964	0.3120017231921268	0.044300039	0.28210865334459934	0.044199964	0.2982017554839752	0.044300039	0.2817564152258785	0.044199964	0.26044935929244795	0.044300039	0.24954939650975613	0.044199964	0.22297653134660533	0.044300039	0.2072542291191311	0.044199964	0.19725740391224975	0.044300039	0.17129081223729226	0.044199964	0.16612623407433852	0.044300039	0.15725565280518433	0.044199964	-0.004949274852196295	0.044300039	-0.00494653864640234
0.050099964	0.16780028242949915	0.05020004	0.24487972082815826	0.050099964	0.2302373736415077	0.05020004	0.2927031190079213	0.050099964	0.2897267477396023	0.05020004	0.3497893167802987	0.050099964	0.33357343556890473	0.05020004	0.3617030896817317	0.050099964	0.3620612472132786	0.05020004	0.3902666160710128	0.050099964	0.3606724088023875	0.05020004	0.4045643291250865	0.050099964	0.37760631061248967	0.05020004	0.37234009157426284	0.050099964	0.36061132469123286	0.05020004	0.36817544104822975	0.050099964	0.33250108190981403	0.05020004	0.3476321846447116	0.050099964	0.3269632106099493	0.05020004	0.31487307312941404	0.050099964	0.30875227005307937	0.05020004	0.2837461605097235	0.050099964	0.2771296401037835	0.05020004	0.26073161561508956	0.050099964	0.24263886486982583	0.05020004	0.23447807587415395	0.050099964	0.20059471686091776	0.05020004	0.18435959451342657	0.050099964	0.1671738884806736	0.05020004	0.16183416170949805	0.050099964	-0.0056109863913160665	0.05020004	-0.005604289918039405
0.055999964	0.15529899817222112	0.05610004	0.22237665934401635	0.055999964	0.21474998250520708	0.05610004	0.27840464917957175	0.055999964	0.28449773406758627	0.05610004	0.3073133176971229	0.055999964	0.30210757474625033	0.05610004	0.3540960177916803	0.055999964	0.3379779194709441	0.05610004	0.36802074396724177	0.055999964	0.3714690355542431	0.05610004	0.3711296216314652	0.055999964	0.35946133318943113	0.05610004	0.40682686157178205	0.055999964	0.3515157657461661	0.05610004	0.3611631122316509	0.055999964	0.35712692347091707	0.05610004	0.37545407318689666	0.055999964	0.3347849004327177	0.05610004	0.30965320051940765	0.055999964	0.317163548510943	0.05610004	0.2855414453242759	0.055999964	0.2689313944680556	0.05610004	0.280925217210878	0.055999964	0.24137175858606744	0.05610004	0.2415095105197522	0.055999964	0.2089870443855948	0.05610004	0.2044284079387449	0.055999964	0.19732057545376272	0.05610004	0.16262395344357122	0.055999964	-0.006272949762354594	0.05610004	-0.006261796816017637
