E (meV)	EVR84_360K_0.35A-1	err	E (meV)	EVR84_360K_0.45A-1	err	E (meV)	EVR84_360K_0.55A-1	err	E (meV)	EVR84_360K_0.65A-1	err	E (meV)	EVR84_360K_0.75A-1	err	E (meV)	EVR84_360K_0.85A-1	err	E (meV)	EVR84_360K_0.95A-1	err	E (meV)	EVR84_360K_1.05A-1	err	E (meV)	EVR84_360K_1.15A-1	err	E (meV)	EVR84_360K_1.25A-1	err	E (meV)	EVR84_360K_1.35A-1	err	E (meV)	EVR84_360K_1.45A-1	err	E (meV)	EVR84_360K_1.55A-1	err	E (meV)	EVR84_360K_1.65A-1	err	E (meV)	EVR84_360K_1.75A-1	err	E (meV)	EVR84_360K_1.85A-1	err
-0.941	-1.1225966	0.55736944	-0.941	2.1058016	0.80285745	-0.941	1.7173065	0.673842	-0.941	1.8669422	0.66859049	-0.941	2.7253593	0.69494932	-0.941	2.3870425	0.73377833	-0.941	3.5322713	0.8060167	-0.941	3.3271977	0.78185465	-0.941	4.535297	0.89140661	-0.941	3.5720146	0.84063943	-0.941	5.1274845	1.1092683	-0.941	4.9146916	0.83989102	-0.941	5.2427359	0.75906544	-0.941	5.0233395	0.71407122	-0.941	5.042585	0.67989011	-0.941	5.2719106	0.67716091
-0.9351	-1.1224711	0.55730715	-0.9351	1.9037048	0.7442754	-0.9351	1.2434592	0.70983257	-0.9351	1.8967323	0.61116918	-0.9351	2.7839012	0.67846346	-0.9351	2.1831783	0.73209109	-0.9351	4.0433598	0.85070559	-0.9351	2.8470219	0.73174138	-0.9351	5.178785	0.92133426	-0.9351	3.5891417	0.79763019	-0.9351	6.3681499	1.1648511	-0.9351	4.7791618	0.82673887	-0.9351	5.6764495	0.77761498	-0.9351	4.6975891	0.69389913	-0.9351	4.9568612	0.65109678	-0.9351	5.3331261	0.67815416
-0.9292	-1.1223457	0.55724491	-0.9292	1.2194631	0.73056662	-0.9292	1.8486182	0.68582951	-0.9292	1.3833529	0.63600702	-0.9292	2.5826766	0.75731171	-0.9292	2.933034	0.71317707	-0.9292	3.9495411	0.80092576	-0.9292	4.2636352	0.75642981	-0.9292	4.403473	0.80847382	-0.9292	4.4768919	0.93329295	-0.9292	4.5930016	1.2226593	-0.9292	5.4089991	0.85241533	-0.9292	5.0490054	0.73424321	-0.9292	4.9544569	0.77467517	-0.9292	5.7160163	0.74555463	-0.9292	5.1320963	0.69673339
-0.9233	-1.1222205	0.55718271	-0.9233	1.2847654	0.72800053	-0.9233	1.9501379	0.68861241	-0.9233	1.5435469	0.63266171	-0.9233	2.2951643	0.77562147	-0.9233	2.8547289	0.70832142	-0.9233	3.5460953	0.78596313	-0.9233	4.4154815	0.7916561	-0.9233	4.2427138	0.79766981	-0.9233	4.4940655	0.96057189	-0.9233	4.5469494	1.2201116	-0.9233	5.2138008	0.84148113	-0.9233	4.9368668	0.73524393	-0.9233	4.9936181	0.78108006	-0.9233	5.6714741	0.74692706	-0.9233	5.2230107	0.69292793
-0.9174	-1.1220953	0.55712055	-0.9174	1.7305496	0.7268696	-0.9174	2.0426098	0.70872777	-0.9174	2.3774301	0.60852569	-0.9174	1.3008854	0.80881695	-0.9174	2.2234643	0.69992053	-0.9174	2.1484562	0.76002419	-0.9174	4.1526279	0.88002303	-0.9174	4.1943409	0.82432764	-0.9174	4.1303144	0.99197462	-0.9174	5.142398	1.1978543	-0.9174	4.1093985	0.78928049	-0.9174	4.8905265	0.75713843	-0.9174	5.0391117	0.77822642	-0.9174	5.225335	0.71185812	-0.9174	5.6142121	0.67239835
-0.9115	-1.1219702	0.55705844	-0.9115	1.8996269	0.75349676	-0.9115	1.9852631	0.70250218	-0.9115	2.3009542	0.671382	-0.9115	2.121294	0.75877899	-0.9115	2.2520544	0.76914128	-0.9115	2.9350223	0.81821081	-0.9115	3.3949536	0.81479331	-0.9115	4.1000431	0.80867061	-0.9115	4.3162748	0.97206486	-0.9115	4.4412905	1.0879233	-0.9115	4.7425799	0.79386403	-0.9115	4.8488625	0.7568859	-0.9115	4.7582848	0.71726916	-0.9115	4.7464218	0.70366934	-0.9115	5.3108693	0.66908158
-0.9056	-1.1218452	0.55699638	-0.9056	2.0408605	0.77539921	-0.9056	1.946248	0.69720947	-0.9056	2.2163466	0.72107604	-0.9056	2.8293877	0.71230467	-0.9056	2.2588168	0.82406976	-0.9056	3.5880064	0.85676747	-0.9056	2.7987075	0.76243319	-0.9056	4.0090048	0.79463101	-0.9056	4.4566309	0.95466143	-0.9056	3.8301704	0.98858275	-0.9056	5.2968464	0.79583422	-0.9056	4.8274415	0.75581461	-0.9056	4.5084866	0.66194165	-0.9056	4.4081417	0.70061308	-0.9056	4.9798157	0.66420115
-0.8997	-1.1217203	0.55693436	-0.8997	0.80342813	0.70302125	-0.8997	2.7377364	0.74170001	-0.8997	2.5488055	0.66971527	-0.8997	2.7870901	0.76323807	-0.8997	3.495989	0.83199308	-0.8997	3.818062	0.81541494	-0.8997	3.5856658	0.85989057	-0.8997	4.923427	0.78539204	-0.8997	5.4158131	1.1136265	-0.8997	5.654543	1.1783903	-0.8997	5.1622944	0.82422812	-0.8997	4.5926077	0.72487335	-0.8997	4.3067858	0.62034845	-0.8997	4.4319796	0.71788169	-0.8997	4.8621792	0.66091405
-0.8938	-1.1215954	0.55687239	-0.8938	1.0941583	0.71102586	-0.8938	2.6302082	0.7226337	-0.8938	2.5502951	0.66078396	-0.8938	2.630174	0.77525007	-0.8938	3.5764816	0.83666246	-0.8938	3.6242029	0.79042748	-0.8938	3.6994337	0.85752853	-0.8938	4.979856	0.79709419	-0.8938	5.1447207	1.075396	-0.8938	5.5998678	1.1502526	-0.8938	5.1876752	0.82437367	-0.8938	4.7489525	0.72941994	-0.8938	4.734584	0.6642338	-0.8938	4.7881579	0.71935132	-0.8938	4.8409305	0.65572905
-0.8879	-1.1214707	0.55681046	-0.8879	2.8080233	0.78575128	-0.8879	1.8709006	0.62277535	-0.8879	2.3514109	0.65607325	-0.8879	2.1324589	0.79202053	-0.8879	3.2509983	0.83884108	-0.8879	2.7378972	0.71169025	-0.8879	3.8047562	0.82550151	-0.8879	4.8288238	0.83975852	-0.8879	3.4693813	0.79564499	-0.8879	4.733096	0.98884316	-0.8879	5.3049453	0.80775708	-0.8879	5.3505896	0.76043579	-0.8879	6.4841095	0.81560005	-0.8879	5.8733528	0.71424165	-0.8879	4.9415306	0.6360232
-0.882	-1.1213461	0.55674859	-0.882	2.7284488	0.83824918	-0.882	2.0813681	0.67783827	-0.882	2.345516	0.71302858	-0.882	3.3101432	0.80886958	-0.882	2.88113	0.84022757	-0.882	3.376034	0.80691258	-0.882	3.6274465	0.81665093	-0.882	4.3239583	0.86617874	-0.882	3.8825449	0.86385962	-0.882	4.4713862	1.0639033	-0.882	5.3360693	0.83826275	-0.882	5.0952947	0.71415526	-0.882	5.8036079	0.7891115	-0.882	5.7514351	0.69795794	-0.882	5.2089007	0.66103681
-0.8761	-1.1212216	0.55668675	-0.8761	2.6648505	0.87309028	-0.8761	2.2146672	0.7139767	-0.8761	2.3464028	0.75281837	-0.8761	4.1748134	0.82261457	-0.8761	2.6126367	0.84344568	-0.8761	3.8842026	0.87093541	-0.8761	3.4303792	0.80398831	-0.8761	3.9701906	0.88609914	-0.8761	4.2210691	0.91726391	-0.8761	4.2442129	1.1112419	-0.8761	5.3606032	0.86023693	-0.8761	4.9211788	0.67788054	-0.8761	5.2598995	0.76475715	-0.8761	5.6484802	0.68935639	-0.8761	5.4446657	0.67954882
-0.8702	-1.1210971	0.55662497	-0.8702	1.365618	0.72087829	-0.8702	1.6058856	0.7986225	-0.8702	1.8022692	0.81129962	-0.8702	3.724023	0.80051097	-0.8702	3.0575788	0.77642597	-0.8702	4.2769658	0.82815635	-0.8702	3.0720453	0.79252828	-0.8702	4.9122552	0.85145478	-0.8702	6.1371342	1.1092731	-0.8702	5.3464529	1.2345163	-0.8702	5.0690204	0.85621583	-0.8702	5.2763768	0.76192634	-0.8702	5.2479264	0.74529045	-0.8702	5.6611734	0.67614069	-0.8702	4.6441608	0.64658766
-0.86429999	-1.1209728	0.55656324	-0.86429999	1.50273	0.71768154	-0.86429999	1.904782	0.77338075	-0.86429999	2.137	0.79775426	-0.86429999	3.3690827	0.80752124	-0.86429999	3.1525366	0.78179498	-0.86429999	3.8511548	0.77970815	-0.86429999	3.3212353	0.78539726	-0.86429999	4.1779559	0.82426586	-0.86429999	5.9294382	1.0906831	-0.86429999	5.1272353	1.1359078	-0.86429999	5.0769373	0.84286961	-0.86429999	5.021918	0.77514347	-0.86429999	5.1681117	0.73884979	-0.86429999	5.6665856	0.67322672	-0.86429999	4.5857928	0.63914764
