E (meV)	EVR84_40K_0.35A-1	err	E (meV)	EVR84_40K_0.45A-1	err	E (meV)	EVR84_40K_0.55A-1	err	E (meV)	EVR84_40K_0.65A-1	err	E (meV)	EVR84_40K_0.75A-1	err	E (meV)	EVR84_40K_0.85A-1	err	E (meV)	EVR84_40K_0.95A-1	err	E (meV)	EVR84_40K_1.05A-1	err	E (meV)	EVR84_40K_1.15A-1	err	E (meV)	EVR84_40K_1.25A-1	err	E (meV)	EVR84_40K_1.35A-1	err	E (meV)	EVR84_40K_1.45A-1	err	E (meV)	EVR84_40K_1.55A-1	err	E (meV)	EVR84_40K_1.65A-1	err	E (meV)	EVR84_40K_1.75A-1	err	E (meV)	EVR84_40K_1.85A-1	err
-1.0	-1.6424588	0.18596862	-1.0	0.34624067	0.42417713	-1.0	0.53132772	0.54619311	-1.0	0.39576214	0.57518135	-1.0	0.17291723	0.55785866	-1.0	-0.029040316	0.47623424	-1.0	-0.35108322	0.70121757	-1.0	0.12602989	0.42325072	-1.0	-0.026656771	0.45845422	-1.0	-0.051767161	0.4833698	-1.0	-0.1057971	0.45643664	-1.0	0.11961232	0.45082698	-1.0	-0.50891163	0.37123762	-1.0	0.15498485	0.36500917	-1.0	0.28870762	0.28823066	-1.0	-0.01700657	0.33909486
-0.9941	-1.6422742	0.18594772	-0.9941	0.3354423	0.41554876	-0.9941	0.49266941	0.55342906	-0.9941	0.41965689	0.55413365	-0.9941	0.16583965	0.54785311	-0.9941	0.025386671	0.47606535	-0.9941	-0.29902908	0.69999072	-0.9941	0.035251483	0.44914476	-0.9941	-0.089091122	0.45826281	-0.9941	-0.0076275557	0.48740964	-0.9941	-0.16792798	0.44772838	-0.9941	0.19199596	0.44653401	-0.9941	-0.5459054	0.36334974	-0.9941	0.1649582	0.35231113	-0.9941	0.23624256	0.29732095	-0.9941	-0.033263853	0.35277829
-0.9882	-1.6420897	0.18592683	-0.9882	0.35049629	0.66649436	-0.9882	0.10170908	0.46562754	-0.9882	-0.20594561	0.48999362	-0.9882	0.16359668	0.54824918	-0.9882	0.098995865	0.4703626	-0.9882	0.12115392	0.50497812	-0.9882	-1.0252176	0.57352634	-0.9882	-0.8186808	0.54226625	-0.9882	-0.018623046	0.49574639	-0.9882	-0.53197315	0.69104283	-0.9882	0.2605474	0.3807772	-0.9882	0.18550063	0.32767397	-0.9882	0.018312085	0.2823366	-0.9882	-0.045241077	0.29817137	-0.9882	0.10986411	0.37338512
-0.9823	-1.6419053	0.18590595	-0.9823	0.40389169	0.62989281	-0.9823	0.012909202	0.41614752	-0.9823	-0.28596738	0.45831831	-0.9823	0.058985077	0.50602876	-0.9823	-0.14474554	0.50344136	-0.9823	0.19827987	0.50987428	-0.9823	-0.55736771	0.56779173	-0.9823	-0.29011551	0.54251956	-0.9823	0.28076613	0.52094621	-0.9823	-0.59367526	0.71187834	-0.9823	0.20233411	0.40064056	-0.9823	0.2066621	0.40168212	-0.9823	-0.1675024	0.31935455	-0.9823	0.055820307	0.34140078	-0.9823	0.14817262	0.33251201
-0.9764	-1.6417211	0.18588509	-0.9764	0.46454002	0.57221457	-0.9764	-0.11200101	0.32760667	-0.9764	-0.43213912	0.40336226	-0.9764	-0.10461169	0.43570341	-0.9764	-0.50438483	0.54737145	-0.9764	0.29528423	0.51994443	-0.9764	0.18723302	0.56022924	-0.9764	0.53204973	0.54380603	-0.9764	0.73429562	0.54816847	-0.9764	-0.72218705	0.74686279	-0.9764	0.15986973	0.43325447	-0.9764	0.20387566	0.49287855	-0.9764	-0.41975308	0.36582446	-0.9764	0.16303592	0.39631027	-0.9764	0.24060002	0.26317838
-0.9705	-1.6415369	0.18586424	-0.9705	0.57436576	0.51980985	-0.9705	0.2701949	0.50033567	-0.9705	-0.20971734	0.51923732	-0.9705	-0.0017266484	0.53330732	-0.9705	-0.41117794	0.42636159	-0.9705	0.23750426	0.51423034	-0.9705	-0.06270883	0.53518889	-0.9705	0.041383245	0.54486358	-0.9705	0.43560734	0.48513323	-0.9705	-0.16067549	0.4664986	-0.9705	0.33615735	0.45892851	-0.9705	0.21614053	0.47888936	-0.9705	-0.037021473	0.36557849	-0.9705	0.43071356	0.40469409	-0.9705	0.063442752	0.25818369
-0.9646	-1.6413529	0.18584341	-0.9646	0.61209731	0.49365942	-0.9646	0.46159216	0.5600255	-0.9646	-0.099160527	0.56699708	-0.9646	0.034074129	0.57799328	-0.9646	-0.36463386	0.34799323	-0.9646	0.21706625	0.51078785	-0.9646	-0.1892933	0.52612584	-0.9646	-0.17973075	0.54156989	-0.9646	0.28288161	0.4528372	-0.9646	0.10710261	0.23549514	-0.9646	0.42681563	0.47170454	-0.9646	0.22115232	0.47038283	-0.9646	0.12855238	0.36812212	-0.9646	0.56923303	0.40653723	-0.9646	-0.034635191	0.25896358
-0.9587	-1.6411691	0.18582259	-0.9587	0.24676826	0.60073297	-0.9587	0.10985086	0.64065042	-0.9587	0.0070811921	0.59916044	-0.9587	0.055869693	0.41741801	-0.9587	0.21455884	0.41676676	-0.9587	0.057989475	0.46638588	-0.9587	-0.46432924	0.65675552	-0.9587	0.60990743	0.49869381	-0.9587	0.24191207	0.41390495	-0.9587	-0.75347995	0.73926676	-0.9587	-0.43272337	0.43766878	-0.9587	-0.24937229	0.47200997	-0.9587	0.044710291	0.38595227	-0.9587	0.10024448	0.27705075	-0.9587	0.0094788609	0.20323928
-0.9528	-1.6409853	0.18580178	-0.9528	0.19966859	0.61216762	-0.9528	0.046321929	0.58817866	-0.9528	0.043361344	0.63159153	-0.9528	0.056352661	0.42788809	-0.9528	0.23030373	0.46179346	-0.9528	-0.0074333533	0.47482052	-0.9528	-0.39876621	0.63953026	-0.9528	0.43684766	0.54464684	-0.9528	-0.028337653	0.45408771	-0.9528	-0.55888069	0.7561332	-0.9528	-0.43571243	0.44118667	-0.9528	-0.16831477	0.45341507	-0.9528	0.021425945	0.37294894	-0.9528	0.049740792	0.28615613	-0.9528	0.12523913	0.26281149
-0.9469	-1.6408017	0.18578099	-0.9469	0.11643117	0.64470378	-0.9469	-0.12136312	0.37955378	-0.9469	0.14479241	0.71944658	-0.9469	0.050564614	0.47533962	-0.9469	0.21143309	0.56240578	-0.9469	-0.17735063	0.50638144	-0.9469	-0.20249992	0.57443516	-0.9469	-0.10595508	0.6606709	-0.9469	-0.75896023	0.53890273	-0.9469	0.03401418	0.78286954	-0.9469	-0.29880277	0.45399661	-0.9469	0.034924206	0.39413377	-0.9469	-0.013517566	0.33371647	-0.9469	-0.055835684	0.32128754	-0.9469	0.42371772	0.38020994
-0.941	-1.6406182	0.18576022	-0.941	0.15060074	0.59540659	-0.941	-0.50842032	0.46466492	-0.941	0.26684656	0.65387622	-0.941	0.030505216	0.4139794	-0.941	0.28748621	0.63929772	-0.941	-0.15315647	0.50880336	-0.941	-0.098967746	0.55623233	-0.941	-0.11747762	0.64146994	-0.941	-0.25741745	0.48808986	-0.941	0.26770744	0.58970674	-0.941	-0.29659183	0.44018451	-0.941	0.2997725	0.40360595	-0.941	-0.12648189	0.27822782	-0.941	0.085005667	0.33751242	-0.941	0.22930701	0.34151499
-0.9351	-1.6404349	0.18573946	-0.9351	0.17055354	0.55361162	-0.9351	-0.80963345	0.52229812	-0.9351	0.36772152	0.59833248	-0.9351	0.012443839	0.35944501	-0.9351	0.35419258	0.69230725	-0.9351	-0.11056716	0.51400057	-0.9351	-0.067606408	0.53577475	-0.9351	-0.10019845	0.62889514	-0.9351	0.11948058	0.44456131	-0.9351	0.43732318	0.37859169	-0.9351	-0.29502934	0.42761764	-0.9351	0.51194715	0.41423595	-0.9351	-0.21754554	0.22739699	-0.9351	0.19741486	0.34896356	-0.9351	0.10004542	0.30483408
-0.9292	-1.6402516	0.18571871	-0.9292	-0.37398243	0.57711672	-0.9292	-0.083629838	0.54060026	-0.9292	0.23408214	0.62729339	-0.9292	-0.12732735	0.51128318	-0.9292	0.76290522	0.61655754	-0.9292	0.18005922	0.53686073	-0.9292	0.29306083	0.44648645	-0.9292	0.27362434	0.53751421	-0.9292	0.27032315	0.45248106	-0.9292	-0.56674662	0.64305464	-0.9292	-0.15618966	0.41280775	-0.9292	0.15562211	0.34825754	-0.9292	-0.43481414	0.39139452	-0.9292	-0.10472379	0.30746476	-0.9292	-0.38890054	0.25681249
-0.9233	-1.6400685	0.18569798	-0.9233	-0.30072641	0.55591366	-0.9233	0.015573366	0.5438486	-0.9233	0.28664267	0.60653186	-0.9233	-0.2069097	0.5717123	-0.9233	0.59634395	0.59424318	-0.9233	0.099037787	0.53635372	-0.9233	0.20181932	0.46164813	-0.9233	0.3511454	0.54776519	-0.9233	0.22636074	0.45948524	-0.9233	-0.53260205	0.67929744	-0.9233	-0.2180539	0.41309502	-0.9233	0.073789933	0.34538708	-0.9233	-0.44470384	0.40708095	-0.9233	-0.067702423	0.31004619	-0.9233	-0.36100927	0.2470671
-0.9174	-1.6398856	0.18567726	-0.9174	0.25335088	0.45504856	-0.9174	0.0038431158	0.54728554	-0.9174	0.60037103	0.49391522	-0.9174	-0.51599459	0.71504249	-0.9174	-0.27891253	0.55249597	-0.9174	-0.37546819	0.53699179	-0.9174	-0.44113508	0.53847199	-0.9174	0.54244018	0.64114845	-0.9174	-0.03880262	0.49018166	-0.9174	0.16374936	0.71071811	-0.9174	-0.56856517	0.42142024	-0.9174	-0.020338347	0.37797263	-0.9174	-0.38468819	0.3982049	-0.9174	0.25692044	0.3427609	-0.9174	0.055050072	0.23575075
-0.9115	-1.6397028	0.18565656	-0.9115	0.06043854	0.53550672	-0.9115	-0.37273371	0.48566902	-0.9115	0.58388177	0.60536701	-0.9115	0.12905663	0.66231513	-0.9115	-0.28340034	0.62520244	-0.9115	-0.14734814	0.61382808	-0.9115	-0.33576379	0.56095228	-0.9115	0.23242106	0.57825269	-0.9115	0.14968048	0.48764701	-0.9115	0.16421788	0.65139713	-0.9115	-0.21690671	0.40306289	-0.9115	-0.081742063	0.3682749	-0.9115	-0.18574731	0.35041503	-0.9115	-0.10661924	0.34640784	-0.9115	0.0091050796	0.26625099
-0.9056	-1.6395201	0.18563588	-0.9056	-0.11772319	0.59905301	-0.9056	-0.70693868	0.42227638	-0.9056	0.55491959	0.69086602	-0.9056	0.72720179	0.61009761	-0.9056	-0.29603005	0.68499136	-0.9056	0.080283064	0.67130242	-0.9056	-0.26510834	0.58256777	-0.9056	-0.030898041	0.51546011	-0.9056	0.3219243	0.49410401	-0.9056	0.12833318	0.59039275	-0.9056	0.12976448	0.38306751	-0.9056	-0.1561445	0.35456799	-0.9056	0.011819246	0.30485847	-0.9056	-0.43989076	0.34896951	-0.9056	-0.049203787	0.29439429
-0.8997	-1.6393375	0.18561521	-0.8997	0.047294507	0.66945419	-0.8997	0.054828005	0.50821472	-0.8997	0.43257732	0.50062502	-0.8997	-0.040472878	0.49451391	-0.8997	-0.46852771	0.51436677	-0.8997	-0.24996551	0.4720945	-0.8997	-0.18413675	0.58290694	-0.8997	0.69891382	0.52004311	-0.8997	-0.2939284	0.5249144	-0.8997	0.36065259	0.53167432	-0.8997	0.10298274	0.4434754	-0.8997	0.018766745	0.33172685	-0.8997	0.28099779	0.30345286	-0.8997	-0.39241622	0.36363052	-0.8997	0.18852735	0.37729854
-0.8938	-1.6391551	0.18559456	-0.8938	0.12027552	0.64684036	-0.8938	0.17597336	0.53014813	-0.8938	0.33835113	0.4547977	-0.8938	-0.13956131	0.52004264	-0.8938	-0.42855299	0.5147042	-0.8938	-0.12835641	0.46624223	-0.8938	-0.12969814	0.57399089	-0.8938	0.73233673	0.52696698	-0.8938	-0.22968357	0.54186329	-0.8938	0.31381847	0.52062211	-0.8938	0.202693	0.45822291	-0.8938	0.034563405	0.32120131	-0.8938	0.2670034	0.3184351	-0.8938	-0.21424232	0.36240421	-0.8938	0.22013615	0.37312313
-0.8879	-1.6389728	0.18557392	-0.8879	0.28035011	0.49637866	-0.8879	0.20825819	0.56282303	-0.8879	0.005514127	0.42122921	-0.8879	0.004017622	0.66927303	-0.8879	-0.1195372	0.61858876	-0.8879	0.5097835	0.58546659	-0.8879	-0.031710796	0.54525253	-0.8879	0.39063338	0.53019014	-0.8879	0.46042826	0.6148059	-0.8879	-0.042795237	0.50797075	-0.8879	0.6210363	0.47812199	-0.8879	-0.048801834	0.29210414	-0.8879	0.11767898	0.36527957	-0.8879	0.37126919	0.35435341	-0.8879	0.30413078	0.30080941
-0.882	-1.6387907	0.18555329	-0.882	0.33032985	0.53690808	-0.882	-0.0095217288	0.54700805	-0.882	0.13356083	0.49123064	-0.882	0.40188287	0.62349459	-0.882	-0.54774352	0.59242224	-0.882	0.23033773	0.59746832	-0.882	0.13446204	0.62460301	-0.882	-0.079490185	0.56412717	-0.882	0.22999465	0.50298075	-0.882	-0.026621978	0.5426216	-0.882	0.085595492	0.44890394	-0.882	0.33893219	0.31664956	-0.882	0.028301159	0.42490789	-0.882	0.31936723	0.31555497	-0.882	0.29310926	0.32359875
-0.8761	-1.6386087	0.18553269	-0.8761	0.37004425	0.56710543	-0.8761	-0.18221111	0.53484268	-0.8761	0.23696123	0.53999919	-0.8761	0.70431055	0.58604637	-0.8761	-0.88596108	0.5743483	-0.8761	0.040426841	0.60683027	-0.8761	0.24989848	0.6762852	-0.8761	-0.43526525	0.59302328	-0.8761	0.014238235	0.37977349	-0.8761	-0.0036742022	0.57347074	-0.8761	-0.3257233	0.42678834	-0.8761	0.65216236	0.33254357	-0.8761	-0.050212795	0.46390049	-0.8761	0.25901326	0.28536178	-0.8761	0.27866083	0.33869655
-0.8702	-1.6384268	0.1855121	-0.8702	-0.068472502	0.63694041	-0.8702	-0.93085441	0.5830054	-0.8702	-0.10958832	0.71335905	-0.8702	0.072327643	0.51059215	-0.8702	-0.18984519	0.50614281	-0.8702	-0.16633714	0.42558177	-0.8702	0.17456464	0.65405007	-0.8702	0.43340729	0.56806297	-0.8702	1.0034461	0.52585822	-0.8702	-0.18292203	0.60033908	-0.8702	0.3155558	0.56941899	-0.8702	-0.059027071	0.33228157	-0.8702	-0.41768829	0.33008429	-0.8702	0.04859317	0.18937986	-0.8702	0.25187331	0.34962321
