E (meV)	D1_butanol_4K_0.098A-1	err	E (meV)	D1_butanol_4K_0.196A-1	err	E (meV)	D1_butanol_4K_0.294A-1	err	E (meV)	D1_butanol_4K_0.399A-1	err	E (meV)	D1_butanol_4K_0.497A-1	err	E (meV)	D1_butanol_4K_0.595A-1	err	E (meV)	D1_butanol_4K_0.693A-1	err	E (meV)	D1_butanol_4K_0.798A-1	err	E (meV)	D1_butanol_4K_0.896A-1	err	E (meV)	D1_butanol_4K_0.994A-1	err	E (meV)	D1_butanol_4K_1.099A-1	err	E (meV)	D1_butanol_4K_1.197A-1	err	E (meV)	D1_butanol_4K_1.295A-1	err	E (meV)	D1_butanol_4K_1.4A-1	err	E (meV)	D1_butanol_4K_1.498A-1	err	E (meV)	D1_butanol_4K_1.596A-1	err	E (meV)	D1_butanol_4K_1.694A-1	err
-4.895	0.0	0.0	-4.895	0.0	0.0	-4.895	0.0	0.0	-4.895	0.0	0.0	-4.895	0.0	0.0	-4.895	0.0	0.0	-4.895	2.68594e-06	6.7968e-06	-4.895	3.90741e-06	6.079e-06	-4.895	1.94644e-06	6.641e-06	-4.895	1.40995e-06	7.2847e-06	-4.895	5.50716e-07	7.3002e-06	-4.895	3.36122e-07	7.2005e-06	-4.895	7.13966e-06	8.6292e-06	-4.895	6.64527e-06	9.5873e-06	-4.895	3.16192e-06	9.3352e-06	-4.895	2.9347e-07	8.4088e-06	-4.895	6.1559e-07	7.8116e-06
-4.885	0.0	0.0	-4.885	0.0	0.0	-4.885	0.0	0.0	-4.885	0.0	0.0	-4.885	0.0	0.0	-4.885	0.0	0.0	-4.885	3.91585e-06	6.8001e-06	-4.885	3.92822e-06	6.2388e-06	-4.885	9.52991e-07	6.8158e-06	-4.885	-1.14117e-06	7.5099e-06	-4.885	6.30634e-07	7.1999e-06	-4.885	2.3197e-06	7.3845e-06	-4.885	7.30043e-06	8.649e-06	-4.885	7.12739e-06	9.2054e-06	-4.885	5.27206e-06	9.3354e-06	-4.885	1.0801e-06	8.428e-06	-4.885	1.19599e-06	8.2992e-06
-4.875	0.0	0.0	-4.875	0.0	0.0	-4.875	0.0	0.0	-4.875	0.0	0.0	-4.875	0.0	0.0	-4.875	0.0	0.0	-4.875	2.1593e-06	7.6266e-06	-4.875	4.75442e-06	6.2905e-06	-4.875	2.32774e-06	6.6939e-06	-4.875	-1.7705e-06	7.6263e-06	-4.875	5.34099e-07	7.7158e-06	-4.875	8.24246e-06	1.261e-05	-4.875	1.41478e-05	1.3506e-05	-4.875	7.88367e-06	8.9311e-06	-4.875	3.89858e-06	7.7293e-06	-4.875	9.4668e-07	7.9699e-06	-4.875	8.15977e-07	8.5575e-06
-4.865	0.0	0.0	-4.865	0.0	0.0	-4.865	0.0	0.0	-4.865	0.0	0.0	-4.865	0.0	0.0	-4.865	0.0	0.0	-4.865	-2.61768e-06	7.9773e-06	-4.865	4.15268e-06	6.3723e-06	-4.865	3.58579e-06	6.4792e-06	-4.865	-4.70858e-06	7.3845e-06	-4.865	-2.10749e-06	8.0262e-06	-4.865	8.15525e-06	1.3548e-05	-4.865	1.1629e-05	1.3885e-05	-4.865	7.88074e-06	8.3988e-06	-4.865	6.2617e-06	7.4776e-06	-4.865	2.99023e-06	8.2433e-06	-4.865	3.20165e-07	8.4455e-06
-4.855	0.0	0.0	-4.855	0.0	0.0	-4.855	0.0	0.0	-4.855	0.0	0.0	-4.855	0.0	0.0	-4.855	0.0	0.0	-4.855	-1.70783e-06	7.4926e-06	-4.855	2.89486e-06	6.4487e-06	-4.855	3.21173e-06	6.532e-06	-4.855	-3.40599e-06	7.184e-06	-4.855	-1.30628e-06	7.9673e-06	-4.855	8.95666e-06	1.386e-05	-4.855	1.11197e-05	1.4108e-05	-4.855	7.51403e-06	8.5262e-06	-4.855	2.89711e-06	6.4621e-06	-4.855	2.40897e-06	7.6964e-06	-4.855	3.46943e-06	8.4937e-06
-4.845	0.0	0.0	-4.845	0.0	0.0	-4.845	0.0	0.0	-4.845	0.0	0.0	-4.845	0.0	0.0	-4.845	0.0	0.0	-4.845	-3.98869e-06	7.2264e-06	-4.845	1.1163e-06	6.5485e-06	-4.845	4.27697e-06	7.0732e-06	-4.845	4.79385e-07	7.5908e-06	-4.845	3.59922e-06	8.6504e-06	-4.845	1.47303e-05	1.4409e-05	-4.845	1.21151e-05	1.4251e-05	-4.845	5.61286e-06	8.3977e-06	-4.845	8.09886e-07	6.6875e-06	-4.845	5.51263e-07	7.3682e-06	-4.845	2.11148e-06	7.7863e-06
-4.835	0.0	0.0	-4.835	0.0	0.0	-4.835	0.0	0.0	-4.835	0.0	0.0	-4.835	0.0	0.0	-4.835	0.0	0.0	-4.835	-1.41588e-06	6.626e-06	-4.835	7.36191e-07	6.2629e-06	-4.835	2.93247e-06	7.379e-06	-4.835	3.12026e-06	8.0725e-06	-4.835	6.30018e-06	8.6761e-06	-4.835	7.92998e-06	9.4082e-06	-4.835	6.28787e-06	9.7114e-06	-4.835	4.26161e-06	9.0207e-06	-4.835	7.80616e-07	7.7327e-06	-4.835	3.01666e-06	7.161e-06	-4.835	4.05954e-06	7.3818e-06
-4.825	0.0	0.0	-4.825	0.0	0.0	-4.825	0.0	0.0	-4.825	0.0	0.0	-4.825	0.0	0.0	-4.825	0.0	0.0	-4.825	5.2762e-06	6.7186e-06	-4.825	3.6357e-06	6.2521e-06	-4.825	3.64723e-06	7.5244e-06	-4.825	5.9321e-06	8.2878e-06	-4.825	9.34809e-06	8.5377e-06	-4.825	9.34246e-06	8.8419e-06	-4.825	7.38734e-06	9.8323e-06	-4.825	9.61552e-07	9.108e-06	-4.825	-3.54656e-06	7.1493e-06	-4.825	-8.12337e-07	6.3413e-06	-4.825	2.49443e-07	6.8545e-06
-4.815	0.0	0.0	-4.815	0.0	0.0	-4.815	0.0	0.0	-4.815	0.0	0.0	-4.815	0.0	0.0	-4.815	0.0	0.0	-4.815	5.29866e-06	7.0285e-06	-4.815	2.89287e-06	5.7644e-06	-4.815	2.29258e-06	6.8888e-06	-4.815	3.68454e-06	8.3493e-06	-4.815	7.08782e-06	8.9602e-06	-4.815	6.8294e-06	8.6078e-06	-4.815	4.66039e-06	9.4687e-06	-4.815	-3.80203e-07	9.0881e-06	-4.815	-2.98769e-06	7.6509e-06	-4.815	-1.27909e-07	6.5504e-06	-4.815	-5.56511e-07	6.6361e-06
-4.805	0.0	0.0	-4.805	0.0	0.0	-4.805	0.0	0.0	-4.805	0.0	0.0	-4.805	0.0	0.0	-4.805	0.0	0.0	-4.805	5.90261e-06	7.4289e-06	-4.805	3.87035e-06	5.6314e-06	-4.805	1.99763e-06	6.1891e-06	-4.805	3.35321e-06	7.9512e-06	-4.805	5.43278e-06	8.5001e-06	-4.805	8.76678e-08	8.1251e-06	-4.805	6.36148e-07	9.7545e-06	-4.805	9.93935e-07	9.5448e-06	-4.805	-8.87153e-07	7.6487e-06	-4.805	1.48038e-06	6.8004e-06	-4.805	-2.4336e-06	7.2873e-06
-4.795	0.0	0.0	-4.795	0.0	0.0	-4.795	0.0	0.0	-4.795	0.0	0.0	-4.795	0.0	0.0	-4.795	0.0	0.0	-4.795	3.47864e-06	7.4303e-06	-4.795	4.48046e-06	6.107e-06	-4.795	3.39348e-06	6.2891e-06	-4.795	3.75477e-06	7.5498e-06	-4.795	5.0786e-06	8.0709e-06	-4.795	-1.26826e-06	7.8109e-06	-4.795	-1.42037e-06	9.2746e-06	-4.795	2.73005e-06	9.3214e-06	-4.795	1.09501e-06	8.0509e-06	-4.795	1.52778e-06	7.2992e-06	-4.795	-1.21743e-06	7.1802e-06
