E (meV)	D1_Butanol_250K_0.098A-1	err	E (meV)	D1_Butanol_250K_0.196A-1	err	E (meV)	D1_Butanol_250K_0.294A-1	err	E (meV)	D1_Butanol_250K_0.399A-1	err	E (meV)	D1_Butanol_250K_0.497A-1	err	E (meV)	D1_Butanol_250K_0.595A-1	err	E (meV)	D1_Butanol_250K_0.693A-1	err	E (meV)	D1_Butanol_250K_0.798A-1	err	E (meV)	D1_Butanol_250K_0.896A-1	err	E (meV)	D1_Butanol_250K_0.994A-1	err	E (meV)	D1_Butanol_250K_1.099A-1	err	E (meV)	D1_Butanol_250K_1.197A-1	err	E (meV)	D1_Butanol_250K_1.295A-1	err	E (meV)	D1_Butanol_250K_1.4A-1	err	E (meV)	D1_Butanol_250K_1.498A-1	err	E (meV)	D1_Butanol_250K_1.596A-1	err	E (meV)	D1_Butanol_250K_1.694A-1	err
-4.895	0.0	0.0	-4.895	0.0	0.0	-4.895	0.0	0.0	-4.895	0.0	0.0	-4.895	0.0	0.0	-4.895	0.0	0.0	-4.895	0.000302887	2.8971e-05	-4.895	0.000390498	2.8896e-05	-4.895	0.000480036	4.2996e-05	-4.895	0.000512268	5.0888e-05	-4.895	0.000552205	5.5519e-05	-4.895	0.000625201	5.8872e-05	-4.895	0.00071108	6.4925e-05	-4.895	0.000803923	7.0035e-05	-4.895	0.000908887	7.2305e-05	-4.895	0.000903576	6.789e-05	-4.895	0.000939969	6.7839e-05
-4.885	0.0	0.0	-4.885	0.0	0.0	-4.885	0.0	0.0	-4.885	0.0	0.0	-4.885	0.0	0.0	-4.885	0.0	0.0	-4.885	0.000313274	2.9781e-05	-4.885	0.000393023	2.9274e-05	-4.885	0.000485617	4.3398e-05	-4.885	0.000538626	5.2062e-05	-4.885	0.000575532	5.6512e-05	-4.885	0.000619358	5.8459e-05	-4.885	0.000693457	6.4103e-05	-4.885	0.00079282	6.9384e-05	-4.885	0.000912006	7.2325e-05	-4.885	0.000919525	6.8433e-05	-4.885	0.000968167	6.8566e-05
-4.875	0.0	0.0	-4.875	0.0	0.0	-4.875	0.0	0.0	-4.875	0.0	0.0	-4.875	0.0	0.0	-4.875	0.0	0.0	-4.875	0.000311692	3.075e-05	-4.875	0.000399706	3.0593e-05	-4.875	0.000491908	4.199e-05	-4.875	0.00054963	5.0902e-05	-4.875	0.00060095	5.7643e-05	-4.875	0.000626565	5.8788e-05	-4.875	0.000685238	6.2295e-05	-4.875	0.000803558	6.8352e-05	-4.875	0.000911206	7.204e-05	-4.875	0.00091499	6.7821e-05	-4.875	0.000974789	6.8671e-05
-4.865	0.0	0.0	-4.865	0.0	0.0	-4.865	0.0	0.0	-4.865	0.0	0.0	-4.865	0.0	0.0	-4.865	0.0	0.0	-4.865	0.000311134	3.0656e-05	-4.865	0.000403224	3.0942e-05	-4.865	0.000495298	4.1731e-05	-4.865	0.000559427	5.0923e-05	-4.865	0.000613934	5.825e-05	-4.865	0.000642929	5.9867e-05	-4.865	0.000690582	6.24e-05	-4.865	0.000785799	6.7359e-05	-4.865	0.000883893	7.0879e-05	-4.865	0.000904803	6.734e-05	-4.865	0.000966671	6.8671e-05
-4.855	0.0	0.0	-4.855	0.0	0.0	-4.855	0.0	0.0	-4.855	0.0	0.0	-4.855	0.0	0.0	-4.855	0.0	0.0	-4.855	0.000321979	3.568e-05	-4.855	0.000406727	3.2261e-05	-4.855	0.000485069	4.1104e-05	-4.855	0.000528316	4.9192e-05	-4.855	0.000575662	5.6271e-05	-4.855	0.000636589	5.9538e-05	-4.855	0.000708705	6.3233e-05	-4.855	0.000766931	6.6734e-05	-4.855	0.000829083	6.8546e-05	-4.855	0.000910756	6.721e-05	-4.855	0.000969544	6.8531e-05
-4.845	0.0	0.0	-4.845	0.0	0.0	-4.845	0.0	0.0	-4.845	0.0	0.0	-4.845	0.0	0.0	-4.845	0.0	0.0	-4.845	0.000316906	3.4894e-05	-4.845	0.000413562	3.2864e-05	-4.845	0.000489436	4.1358e-05	-4.845	0.000534518	4.9585e-05	-4.845	0.000577398	5.6441e-05	-4.845	0.000636378	5.962e-05	-4.845	0.000729158	6.3974e-05	-4.845	0.000784452	6.7411e-05	-4.845	0.000824861	6.8082e-05	-4.845	0.000903315	6.6608e-05	-4.845	0.000975063	6.8994e-05
-4.835	0.0	0.0	-4.835	0.0	0.0	-4.835	0.0	0.0	-4.835	0.0	0.0	-4.835	0.0	0.0	-4.835	0.0	0.0	-4.835	0.000318713	5.3404e-05	-4.835	0.00041166	3.771e-05	-4.835	0.000491203	4.1211e-05	-4.835	0.000528265	4.953e-05	-4.835	0.000576922	5.6742e-05	-4.835	0.000639027	5.9787e-05	-4.835	0.00073101	6.4409e-05	-4.835	0.000809107	6.8871e-05	-4.835	0.000848092	6.9062e-05	-4.835	0.000888509	6.606e-05	-4.835	0.000940779	6.778e-05
-4.825	0.0	0.0	-4.825	0.0	0.0	-4.825	0.0	0.0	-4.825	0.0	0.0	-4.825	0.0	0.0	-4.825	0.0	0.0	-4.825	0.000346648	4.4625e-05	-4.825	0.000418023	3.4646e-05	-4.825	0.000488179	4.1368e-05	-4.825	0.00051937	4.923e-05	-4.825	0.000598595	5.852e-05	-4.825	0.000637613	6.0143e-05	-4.825	0.000703528	6.3127e-05	-4.825	0.000809425	6.8843e-05	-4.825	0.000876607	7.0137e-05	-4.825	0.00090586	6.6671e-05	-4.825	0.000937365	6.739e-05
-4.815	0.0	0.0	-4.815	0.0	0.0	-4.815	0.0	0.0	-4.815	0.0	0.0	-4.815	0.0	0.0	-4.815	0.0	0.0	-4.815	0.000348208	3.4655e-05	-4.815	0.000418345	3.1868e-05	-4.815	0.00049418	4.1909e-05	-4.815	0.000526418	4.9828e-05	-4.815	0.000613951	5.9814e-05	-4.815	0.00065788	6.1589e-05	-4.815	0.000705213	6.3209e-05	-4.815	0.00080236	6.8377e-05	-4.815	0.000914249	7.1704e-05	-4.815	0.000924862	6.7572e-05	-4.815	0.000938144	6.7522e-05
-4.805	0.0	0.0	-4.805	0.0	0.0	-4.805	0.0	0.0	-4.805	0.0	0.0	-4.805	0.0	0.0	-4.805	0.0	0.0	-4.805	0.00034403	3.0893e-05	-4.805	0.000406982	3.0669e-05	-4.805	0.000471983	4.1165e-05	-4.805	0.000527854	5.0069e-05	-4.805	0.000623452	6.019e-05	-4.805	0.000640147	6.0899e-05	-4.805	0.00068879	6.2893e-05	-4.805	0.00079134	6.8091e-05	-4.805	0.000932002	7.2329e-05	-4.805	0.000936692	6.8169e-05	-4.805	0.000903616	6.5962e-05
