E (meV)	but_OD_2K_0.29A-1	err	E (meV)	but_OD_2K_0.44A-1	err	E (meV)	but_OD_2K_0.59A-1	err	E (meV)	but_OD_2K_0.71A-1	err	E (meV)	but_OD_2K_0.84A-1	err	E (meV)	but_OD_2K_0.95A-1	err	E (meV)	but_OD_2K_1.07A-1	err	E (meV)	but_OD_2K_1.18A-1	err	E (meV)	but_OD_2K_1.29A-1	err	E (meV)	but_OD_2K_1.39A-1	err	E (meV)	but_OD_2K_1.48A-1	err	E (meV)	but_OD_2K_1.57A-1	err	E (meV)	but_OD_2K_1.65A-1	err	E (meV)	but_OD_2K_1.72A-1	err	E (meV)	but_OD_2K_1.79A-1	err	E (meV)	but_OD_2K_1.84A-1	err	E (meV)	but_OD_2K_1.89A-1	err	E (meV)	but_OD_2K_1.93A-1	err
-0.142619	-0.09629884	0.09415056	-0.142619	0.05437268	0.2036608	-0.142619	0.0	0.0	-0.142619	0.0	0.0	-0.142619	0.0	0.0	-0.142619	-0.0005353028	0.00906496	-0.142619	0.0	0.0	-0.142619	0.1267922	0.2016405	-0.142619	-0.004221507	0.02390661	-0.142619	-0.005240887	0.02875207	-0.142619	0.0	0.0	-0.142619	0.0	0.0	-0.142619	0.0	0.0	-0.142619	0.0	0.0	-0.142619	0.0	0.0	-0.142619	0.0	0.0	-0.142619	0.0	0.0	-0.142619	0.0	0.0
-0.142019	-0.05123442	0.06629247	-0.142019	0.1171086	0.2596683	-0.142019	0.0	0.0	-0.142019	0.0	0.0	-0.142019	0.0	0.0	-0.142019	-0.00494356	0.02751695	-0.142019	0.0	0.0	-0.142019	0.05663411	0.1282637	-0.142019	-0.002299023	0.01763634	-0.142019	-0.0138205	0.02989115	-0.142019	0.0	0.0	-0.142019	0.0	0.0	-0.142019	0.0	0.0	-0.142019	-0.002675303	0.01843204	-0.142019	0.0	0.0	-0.142019	0.0	0.0	-0.142019	0.0	0.0	-0.142019	0.0	0.0
-0.141419	-0.06589311	0.06128103	-0.141419	0.3027064	0.3071049	-0.141419	0.0	0.0	-0.141419	0.0	0.0	-0.141419	0.0	0.0	-0.141419	-0.001437978	0.01483696	-0.141419	0.2099467	0.2262943	-0.141419	-0.009101886	0.03453442	-0.141419	-0.03737296	0.04022125	-0.141419	-0.03697129	0.04246453	-0.141419	-0.04055217	0.04372038	-0.141419	0.0	0.0	-0.141419	-0.002421414	0.01055955	-0.141419	-0.003706799	0.02167338	-0.141419	-0.002596007	0.01911809	-0.141419	0.0	0.0	-0.141419	0.0	0.0	-0.141419	0.0	0.0
-0.140819	-0.03035437	0.04785533	-0.140819	0.004488199	0.03729607	-0.140819	0.0	0.0	-0.140819	0.0	0.0	-0.140819	0.0	0.0	-0.140819	0.0	0.0	-0.140819	0.02003212	0.0948063	-0.140819	-0.003663201	0.02140927	-0.140819	-0.005911192	0.01599532	-0.140819	0.0	0.0	-0.140819	-0.006581057	0.01761176	-0.140819	0.0	0.0	-0.140819	-0.03153313	0.03810126	-0.140819	0.0	0.0	-0.140819	-0.01042144	0.03838585	-0.140819	0.0	0.0	-0.140819	0.0	0.0	-0.140819	0.0	0.0
-0.140219	-0.03190318	0.05266707	-0.140219	0.2546173	0.280514	-0.140219	0.0	0.0	-0.140219	0.0	0.0	-0.140219	0.0	0.0	-0.140219	-0.004854122	0.02719345	-0.140219	-0.001099608	0.01220252	-0.140219	-0.002360116	0.01718096	-0.140219	0.0	0.0	-0.140219	0.0	0.0	-0.140219	0.0	0.0	-0.140219	0.0	0.0	-0.140219	-0.01207464	0.02357021	-0.140219	0.0	0.0	-0.140219	-0.0007199126	0.01011059	-0.140219	0.0	0.0	-0.140219	0.0	0.0	-0.140219	0.0	0.0
-0.139619	-0.04540525	0.06407852	-0.139619	0.01984084	0.1357552	-0.139619	0.1602791	0.3603698	-0.139619	0.0	0.0	-0.139619	0.0	0.0	-0.139619	-0.001888233	0.01695537	-0.139619	-0.03077231	0.03629077	-0.139619	-0.0002885917	0.006025142	-0.139619	-0.03135098	0.03707283	-0.139619	0.0	0.0	-0.139619	0.0	0.0	-0.139619	0.0	0.0	-0.139619	0.04292722	0.1053817	-0.139619	0.0	0.0	-0.139619	0.0	0.0	-0.139619	0.0	0.0	-0.139619	0.0	0.0	-0.139619	0.0	0.0
-0.139019	-0.03735102	0.05147325	-0.139019	-0.04218217	0.04826524	-0.139019	0.6408604	0.720624	-0.139019	0.0	0.0	-0.139019	0.0	0.0	-0.139019	-0.0008936722	0.01166794	-0.139019	-0.01203105	0.02269796	-0.139019	-0.003862599	0.02202216	-0.139019	-0.01249304	0.02340906	-0.139019	0.0	0.0	-0.139019	0.0	0.0	-0.139019	-0.00199344	0.01584398	-0.139019	0.1953577	0.2248331	-0.139019	0.0	0.0	-0.139019	0.0	0.0	-0.139019	0.0	0.0	-0.139019	0.0	0.0	-0.139019	0.0	0.0
-0.138419	-0.08950338	0.08252176	-0.138419	-0.003813256	0.01771954	-0.138419	0.009114556	0.08599359	-0.138419	0.0	0.0	-0.138419	0.0	0.0	-0.138419	-0.00560392	0.02920649	-0.138419	0.0	0.0	-0.138419	0.1069405	0.1592839	-0.138419	0.0	0.0	-0.138419	0.0	0.0	-0.138419	0.0	0.0	-0.138419	-0.003968551	0.02234899	-0.138419	0.02047531	0.07282934	-0.138419	0.0	0.0	-0.138419	0.0	0.0	-0.138419	0.0	0.0	-0.138419	0.0	0.0	-0.138419	0.0	0.0
-0.137819	0.1617386	0.258241	-0.137819	-0.09345071	0.1071129	-0.137819	0.0	0.0	-0.137819	0.0	0.0	-0.137819	0.0	0.0	-0.137819	-0.0003568476	0.007369697	-0.137819	0.0	0.0	-0.137819	0.1189218	0.168955	-0.137819	0.0	0.0	-0.137819	0.0	0.0	-0.137819	0.0	0.0	-0.137819	-0.003303207	0.02054235	-0.137819	0.0	0.0	-0.137819	-0.003533004	0.02110577	-0.137819	0.0	0.0	-0.137819	0.0	0.0	-0.137819	0.0	0.0	-0.137819	0.0	0.0
-0.137219	0.05205896	0.1840482	-0.137219	0.2940252	0.3593097	-0.137219	0.0	0.0	-0.137219	0.0	0.0	-0.137219	0.0	0.0	-0.137219	0.0	0.0	-0.137219	0.0	0.0	-0.137219	-0.003308611	0.02036145	-0.137219	0.0	0.0	-0.137219	0.0	0.0	-0.137219	0.0	0.0	-0.137219	-0.002911762	0.01929009	-0.137219	0.0	0.0	-0.137219	0.007849206	0.05212781	-0.137219	0.0	0.0	-0.137219	0.0	0.0	-0.137219	0.0	0.0	-0.137219	-0.05873608	0.3951521
-0.136619	-0.01096142	0.06518546	-0.136619	0.1605764	0.2506672	-0.136619	0.0	0.0	-0.136619	-0.03753863	0.04974142	-0.136619	0.0	0.0	-0.136619	0.0	0.0	-0.136619	0.001519308	0.0190715	-0.136619	0.001663255	0.01939338	-0.136619	0.0	0.0	-0.136619	0.0	0.0	-0.136619	0.0	0.0	-0.136619	0.0	0.0	-0.136619	0.0	0.0	-0.136619	0.213372	0.2188104	-0.136619	0.08989354	0.1502726	-0.136619	0.0	0.0	-0.136619	0.0	0.0	-0.136619	-0.06844053	0.4264541
