E- (meV)	but_OD_2K_0.29A-1	E+ (meV)	but_OD_2K_0.29A-1	E- (meV)	but_OD_2K_0.44A-1	E+ (meV)	but_OD_2K_0.44A-1	E- (meV)	but_OD_2K_0.59A-1	E+ (meV)	but_OD_2K_0.59A-1	E- (meV)	but_OD_2K_0.71A-1	E+ (meV)	but_OD_2K_0.71A-1	E- (meV)	but_OD_2K_0.84A-1	E+ (meV)	but_OD_2K_0.84A-1	E- (meV)	but_OD_2K_0.95A-1	E+ (meV)	but_OD_2K_0.95A-1	E- (meV)	but_OD_2K_1.07A-1	E+ (meV)	but_OD_2K_1.07A-1	E- (meV)	but_OD_2K_1.18A-1	E+ (meV)	but_OD_2K_1.18A-1	E- (meV)	but_OD_2K_1.29A-1	E+ (meV)	but_OD_2K_1.29A-1	E- (meV)	but_OD_2K_1.39A-1	E+ (meV)	but_OD_2K_1.39A-1	E- (meV)	but_OD_2K_1.48A-1	E+ (meV)	but_OD_2K_1.48A-1	E- (meV)	but_OD_2K_1.57A-1	E+ (meV)	but_OD_2K_1.57A-1	E- (meV)	but_OD_2K_1.65A-1	E+ (meV)	but_OD_2K_1.65A-1	E- (meV)	but_OD_2K_1.72A-1	E+ (meV)	but_OD_2K_1.72A-1	E- (meV)	but_OD_2K_1.79A-1	E+ (meV)	but_OD_2K_1.79A-1	E- (meV)	but_OD_2K_1.84A-1	E+ (meV)	but_OD_2K_1.84A-1	E- (meV)	but_OD_2K_1.89A-1	E+ (meV)	but_OD_2K_1.89A-1	E- (meV)	but_OD_2K_1.93A-1	E+ (meV)	but_OD_2K_1.93A-1
0.0004189682	5.23309950788848	0.0001810318	2.531680015654968	0.0004189682	5.87350853513028	0.0001810318	2.6643659548540395	0.0004189682	7.880125067407029	0.0001810318	3.364515230638782	0.0004189682	7.175650057305492	0.0001810318	3.1065348938559736	0.0004189682	6.637014385023125	0.0001810318	2.9009922529110086	0.0004189682	6.587059036967455	0.0001810318	2.809254814414796	0.0004189682	6.638029824657882	0.0001810318	2.7606314588019014	0.0004189682	6.360346845742422	0.0001810318	2.648088798020344	0.0004189682	6.322178396760378	0.0001810318	2.6702307709266764	0.0004189682	6.192340523040044	0.0001810318	2.553831883088473	0.0004189682	5.920328866241294	0.0001810318	2.467078317928984	0.0004189682	5.842353348444915	0.0001810318	2.4061181360200043	0.0004189682	5.954165639371759	0.0001810318	2.405390888272835	0.0004189682	5.531195270305044	0.0001810318	2.258245416881633	0.0004189682	5.201383841344472	0.0001810318	2.123764610453494	0.0004189682	5.0450856599729645	0.0001810318	2.0921852375301535	0.0004189682	5.253363951563422	0.0001810318	2.1347359919997912	0.0004189682	4.918830116590609	0.0001810318	2.2088173063920524
0.001018968	10.153453279547872	0.0007810318	10.816062624876269	0.001018968	12.317691524950483	0.0007810318	10.599850066732337	0.001018968	16.866207563467714	0.0007810318	12.793298429027514	0.001018968	15.842193553646215	0.0007810318	11.76780583965301	0.001018968	14.729378321633517	0.0007810318	10.93399997584082	0.001018968	14.607866252323591	0.0007810318	10.504553584846809	0.001018968	14.5070716117287	0.0007810318	10.285086730256422	0.001018968	14.31501856986922	0.0007810318	9.824894269169215	0.001018968	13.945059429200528	0.0007810318	9.35181246458348	0.001018968	14.082445359681287	0.0007810318	9.116672145571364	0.001018968	13.471507556224871	0.0007810318	8.700109416196446	0.001018968	13.595990967932106	0.0007810318	8.490439542222035	0.001018968	13.749412832805369	0.0007810318	8.408651728693462	0.001018968	12.867525860926168	0.0007810318	7.945148152365449	0.001018968	12.087053878869634	0.0007810318	7.6868456518361405	0.001018968	11.356148358985655	0.0007810318	7.567975052174375	0.001018968	12.029883015652679	0.0007810318	8.446696172921044	0.001018968	10.65493949687943	0.0007810318	8.701865116941892
0.001618968	11.671428401124823	0.001381032	16.97541850419317	0.001618968	15.014706367427065	0.001381032	15.843282813942254	0.001618968	20.226698863527584	0.001381032	16.69068837142413	0.001618968	18.693013059530813	0.001381032	15.804007962986415	0.001618968	18.027459463305014	0.001381032	14.494626455005724	0.001618968	17.465725811801416	0.001381032	13.668676138817842	0.001618968	18.04892319541537	0.001381032	13.745051983746713	0.001618968	18.534284031378366	0.001381032	12.775514276746264	0.001618968	18.468840255285023	0.001381032	12.375344063993966	0.001618968	18.5505056197712	0.001381032	11.634836105825885	0.001618968	17.906332735280138	0.001381032	11.64675596291501	0.001618968	18.57075369638145	0.001381032	11.532313801131469	0.001618968	19.362097986733737	0.001381032	11.295080061471248	0.001618968	18.324536017395992	0.001381032	10.846784115237947	0.001618968	17.47970288503918	0.001381032	11.424934794042935	0.001618968	16.117673567683752	0.001381032	11.471992404023732	0.001618968	16.565713779793594	0.001381032	12.75795292229691	0.001618968	14.882887801028113	0.001381032	12.420117494376909
0.002218968	10.019177413805552	0.001981032	18.800112376327856	0.002218968	14.54204217491968	0.001981032	16.997593825258274	0.002218968	15.268993454607525	0.001981032	13.99017443935546	0.002218968	15.071547836552195	0.001981032	13.997552746135149	0.002218968	15.299737342518162	0.001981032	12.882189728563171	0.002218968	15.905276319101281	0.001981032	12.104526965234713	0.002218968	16.395314026113347	0.001981032	12.31987299152775	0.002218968	17.04924450105369	0.001981032	11.147393621522054	0.002218968	17.805197297886046	0.001981032	11.937148909051968	0.002218968	18.476608473923886	0.001981032	11.060128538173956	0.002218968	18.726410705117285	0.001981032	11.398902327077879	0.002218968	20.651995014064745	0.001981032	11.484379382797616	0.002218968	21.426710864310785	0.001981032	11.643707724235806	0.002218968	20.98821150753027	0.001981032	12.12365670660804	0.002218968	20.24482169243682	0.001981032	12.774753682933664	0.002218968	18.795364621090588	0.001981032	13.384980943408582	0.002218968	18.24177109071241	0.001981032	14.554225347765373	0.002218968	18.625060091581368	0.001981032	14.465344576801286
0.002818968	6.531222072904221	0.002581032	15.277658429729494	0.002818968	11.38374224856439	0.002581032	13.876111392441844	0.002818968	7.4156612015232675	0.002581032	7.225391657907585	0.002818968	7.41604975874489	0.002581032	8.041643118687544	0.002818968	7.922267287837041	0.002581032	7.470394113005422	0.002818968	9.054528212406627	0.002581032	7.267461324319669	0.002818968	9.67078514666214	0.002581032	7.869638002401308	0.002818968	11.752172206106412	0.002581032	7.515176896987205	0.002818968	12.558449164023967	0.002581032	8.560843228617742	0.002818968	14.12150607058739	0.002581032	8.567763779802414	0.002818968	14.425793001984044	0.002581032	8.874355404653716	0.002818968	16.74697685556162	0.002581032	9.514165498388033	0.002818968	18.251128487327136	0.002581032	10.211744916485086	0.002818968	18.246434716089944	0.002581032	10.884261852660323	0.002818968	18.58996074610747	0.002581032	11.602859759881673	0.002818968	18.216847378854162	0.002581032	11.787365763834147	0.002818968	17.510807822589182	0.002581032	12.644061822326957	0.002818968	20.566028075440347	0.002581032	12.426475396922243
0.003418968	4.49636464263889	0.003181032	8.866503086508597	0.003418968	7.977996878061802	0.003181032	8.061464869367823	0.003418968	3.1347401733375766	0.003181032	2.1350487264921583	0.003418968	3.558034735451001	0.003181032	2.735257542599425	0.003418968	3.2676409062029403	0.003181032	2.6274186973734377	0.003418968	4.021681671262128	0.003181032	2.687866225511129	0.003418968	4.917293126061206	0.003181032	3.267759060147871	0.003418968	6.003175955465789	0.003181032	3.5980918285162646	0.003418968	6.793207679151995	0.003181032	4.0521038291224345	0.003418968	7.791064702034732	0.003181032	4.452811442271975	0.003418968	8.652225446825346	0.003181032	4.769545642573123	0.003418968	11.707784126407446	0.003181032	5.7985434107721225	0.003418968	12.53495491394349	0.003181032	6.686624300963708	0.003418968	13.096173169272122	0.003181032	7.407574199108241	0.003418968	14.056559411499961	0.003181032	8.096746802065002	0.003418968	14.888671331710976	0.003181032	7.598571198063629	0.003418968	15.893521473577014	0.003181032	8.787867064227813	0.003418968	16.77082115362702	0.003181032	6.981772232329855
0.004018968	3.0811177080827963	0.003781032	4.217168213207633	0.004018968	4.88620358489374	0.003781032	3.9006975229434913	0.004018968	1.3899111887564546	0.003781032	0.36017209753281304	0.004018968	1.4321877198625765	0.003781032	0.697182010189465	0.004018968	1.15151922726303	0.003781032	0.8836716705043502	0.004018968	1.6213951718861737	0.003781032	0.9031980023525709	0.004018968	1.9690191706559999	0.003781032	1.2510861603944279	0.004018968	2.3965644766171685	0.003781032	1.4479637774423084	0.004018968	2.7999392702993195	0.003781032	1.6573917477815951	0.004018968	3.26242175095487	0.003781032	1.8737868343967194	0.004018968	4.073514025575927	0.003781032	1.9510345656765884	0.004018968	5.607167495451502	0.003781032	2.7626306684220854	0.004018968	6.531987922880529	0.003781032	3.483774241231845	0.004018968	6.9658615892783216	0.003781032	4.0322471766256935	0.004018968	7.746289703718596	0.003781032	3.8727956538579966	0.004018968	9.513145998121471	0.003781032	4.171552689590693	0.004018968	10.252499806874715	0.003781032	4.083140529421452	0.004018968	10.852708253158163	0.003781032	3.998566418629212
0.004618968	1.4436171821313764	0.004381032	1.3448113737804765	0.004618968	2.439089208563061	0.004381032	1.4975012791435778	0.004618968	0.6301928023828536	0.004381032	0.14087898950128971	0.004618968	0.6303592899683785	0.004381032	0.3598280658245629	0.004618968	0.5463183877562195	0.004381032	0.21000358003953923	0.004618968	0.6208215396113657	0.004381032	0.13878340649936358	0.004618968	0.862407399708705	0.004381032	0.5152607751889813	0.004618968	0.869301572970907	0.004381032	0.5279196704157355	0.004618968	1.1422755056761953	0.004381032	0.6722531073783203	0.004618968	1.255642372600758	0.004381032	0.6326706701834872	0.004618968	1.2234721240784465	0.004381032	0.7300107214098472	0.004618968	2.16560156224175	0.004381032	0.9406806835967855	0.004618968	2.2607298891077603	0.004381032	1.1648266890631933	0.004618968	2.6567245793323995	0.004381032	1.40834359008398	0.004618968	3.4805019097990417	0.004381032	1.373897681047202	0.004618968	4.469743665282919	0.004381032	1.321711545348272	0.004618968	4.830603586882153	0.004381032	0.9118246255160031	0.004618968	4.178133533806343	0.004381032	0.8912039184557343
0.005218968	0.5862603922313556	0.004981032	0.5380187650764685	0.005218968	1.128717480829517	0.004981032	0.5042318119589809	0.005218968	0.5445463867791991	0.004981032	0.10205740990994797	0.005218968	0.4810456694039055	0.004981032	0.17954510194786366	0.005218968	0.3138942810455304	0.004981032	0.09411728843235982	0.005218968	0.324870557930238	0.004981032	0.11742161656620884	0.005218968	0.4873099901856249	0.004981032	0.20999312300847733	0.005218968	0.4058979670597138	0.004981032	0.27077559418566666	0.005218968	0.43575316973931016	0.004981032	0.34617900433571547	0.005218968	0.5429493983771245	0.004981032	0.16432999631033204	0.005218968	0.4074276335241903	0.004981032	0.2613958334600118	0.005218968	0.6739015780539278	0.004981032	0.305288542179464	0.005218968	0.6528670946100067	0.004981032	0.39202783608419883	0.005218968	0.8693558044131681	0.004981032	0.43657010974599025	0.005218968	0.95713086140577	0.004981032	0.3344050356550511	0.005218968	1.1025884556372336	0.004981032	0.2103873546936529	0.005218968	1.8257825382363129	0.004981032	0.2353006492829131	0.005218968	1.1138738145883884	0.004981032	0.5927295313234954
0.005818968	0.30644302713241994	0.005581032	0.2224711258696799	0.005818968	0.6233467402856073	0.005581032	0.23412706190371296	0.005818968	0.41374292199317914	0.005581032	0.08693325813620813	0.005818968	0.30258034613439405	0.005581032	0.05685043431685939	0.005818968	0.2801350463794642	0.005581032	0.07692202043382648	0.005818968	0.17869643685046707	0.005581032	0.1242990524223941	0.005818968	0.2895970775196639	0.005581032	0.030006955476953208	0.005818968	0.2618414409557178	0.005581032	0.22997277214330306	0.005818968	0.28039903130900384	0.005581032	0.11132925968702655	0.005818968	0.20537207622208709	0.005581032	0.05782056608445123	0.005818968	0.25560257194868435	0.005581032	0.09178667982711637	0.005818968	0.27270592574692537	0.005581032	0.10208881791609443	0.005818968	0.3398436475227227	0.005581032	0.07148716835218596	0.005818968	0.427975345286757	0.005581032	0.15648058338735488	0.005818968	0.36456092219228536	0.005581032	0.1132976923098868	0.005818968	0.3112830025630981	0.005581032	0.04519506887202229	0.005818968	0.5781447960652237	0.005581032	0.011844330572083506	0.005818968	0.838120865784051	0.005581032	-0.6364388930520554
