E (meV)	but_OD_250K_0.29A-1	err	E (meV)	but_OD_250K_0.44A-1	err	E (meV)	but_OD_250K_0.59A-1	err	E (meV)	but_OD_250K_0.71A-1	err	E (meV)	but_OD_250K_0.84A-1	err	E (meV)	but_OD_250K_0.95A-1	err	E (meV)	but_OD_250K_1.07A-1	err	E (meV)	but_OD_250K_1.18A-1	err	E (meV)	but_OD_250K_1.29A-1	err	E (meV)	but_OD_250K_1.39A-1	err	E (meV)	but_OD_250K_1.48A-1	err	E (meV)	but_OD_250K_1.57A-1	err	E (meV)	but_OD_250K_1.65A-1	err	E (meV)	but_OD_250K_1.72A-1	err	E (meV)	but_OD_250K_1.79A-1	err	E (meV)	but_OD_250K_1.84A-1	err	E (meV)	but_OD_250K_1.89A-1	err	E (meV)	but_OD_250K_1.93A-1	err
-0.136619	0.5899044	0.1898031	-0.136619	0.6953474	0.1963632	-0.136619	0.7023069	0.3071722	-0.136619	1.054739	0.2556533	-0.136619	1.330449	0.260485	-0.136619	1.471228	0.2587046	-0.136619	1.459269	0.2419419	-0.136619	1.495235	0.2386907	-0.136619	1.672453	0.2580551	-0.136619	1.423069	0.2559551	-0.136619	1.984287	0.2915851	-0.136619	1.9358	0.2705289	-0.136619	1.597848	0.261831	-0.136619	1.497534	0.2395298	-0.136619	1.368133	0.2394255	-0.136619	1.76111	0.3332855	-0.136619	1.490639	0.4817064	-0.136619	1.633958	1.131651
-0.136019	0.6468518	0.1873521	-0.136019	0.9747961	0.2342728	-0.136019	0.7509629	0.3178433	-0.136019	1.185316	0.2705275	-0.136019	1.598351	0.2827925	-0.136019	1.268295	0.2353275	-0.136019	1.147448	0.2140355	-0.136019	1.409574	0.23249	-0.136019	1.738159	0.2631339	-0.136019	1.610788	0.2718478	-0.136019	1.499401	0.253172	-0.136019	1.430585	0.232163	-0.136019	1.709671	0.2708535	-0.136019	1.426607	0.2328689	-0.136019	1.886984	0.2899165	-0.136019	1.593971	0.3126729	-0.136019	2.481494	0.6203642	-0.136019	1.212711	0.9689692
-0.135419	0.4212941	0.1681527	-0.135419	0.6804924	0.2077404	-0.135419	0.7567368	0.3181646	-0.135419	1.339042	0.2871482	-0.135419	1.576049	0.2804004	-0.135419	1.335853	0.2438584	-0.135419	1.319707	0.2307519	-0.135419	1.867284	0.2674063	-0.135419	1.774878	0.2656322	-0.135419	1.758023	0.2837358	-0.135419	1.474099	0.2505517	-0.135419	1.453009	0.2337298	-0.135419	1.408013	0.245564	-0.135419	1.394531	0.2295855	-0.135419	1.335832	0.2414595	-0.135419	0.9178461	0.2369183	-0.135419	1.499774	0.4824499	-0.135419	0.2674041	0.4543723
-0.134819	0.4312728	0.161661	-0.134819	0.7336209	0.2069782	-0.134819	1.046678	0.373944	-0.134819	1.274367	0.2800259	-0.134819	1.524094	0.27562	-0.134819	1.269005	0.2419108	-0.134819	1.31499	0.2359577	-0.134819	1.639363	0.2494693	-0.134819	2.284429	0.3011687	-0.134819	1.493152	0.2615223	-0.134819	1.48446	0.2513912	-0.134819	1.835917	0.2643411	-0.134819	1.391006	0.243778	-0.134819	1.402123	0.2301204	-0.134819	1.505538	0.2510349	-0.134819	1.207378	0.2870973	-0.134819	2.12891	0.5749523	-0.134819	1.662348	1.136949
-0.134219	0.4536887	0.1705095	-0.134219	0.6491878	0.1902368	-0.134219	1.667834	0.469799	-0.134219	1.308794	0.2829181	-0.134219	1.65816	0.286389	-0.134219	1.39231	0.2453935	-0.134219	1.776306	0.2652321	-0.134219	1.63581	0.2479775	-0.134219	1.817426	0.2682574	-0.134219	1.525428	0.2630913	-0.134219	1.393874	0.2427926	-0.134219	1.855478	0.2693155	-0.134219	1.782826	0.2748444	-0.134219	1.541436	0.24032	-0.134219	1.295279	0.2315859	-0.134219	1.576545	0.3184269	-0.134219	1.953742	0.5482209	-0.134219	2.916828	1.499734
-0.133619	0.3009085	0.1385736	-0.133619	0.8883767	0.223301	-0.133619	1.577388	0.4580543	-0.133619	1.262311	0.2780355	-0.133619	1.987643	0.3140142	-0.133619	1.470122	0.2523775	-0.133619	1.815773	0.2690567	-0.133619	1.65391	0.2495757	-0.133619	1.988402	0.2808888	-0.133619	1.817423	0.2874437	-0.133619	1.581865	0.2588787	-0.133619	1.48939	0.2370583	-0.133619	1.50806	0.2532037	-0.133619	1.76706	0.2575225	-0.133619	1.510479	0.2503749	-0.133619	1.090782	0.2623655	-0.133619	1.814879	0.534247	-0.133619	1.816283	1.185579
-0.133019	0.4544274	0.1605036	-0.133019	0.8814018	0.2154975	-0.133019	1.602507	0.4610507	-0.133019	1.14944	0.2654034	-0.133019	1.851378	0.3025705	-0.133019	2.098659	0.3012198	-0.133019	1.522715	0.2515567	-0.133019	1.502791	0.2376308	-0.133019	1.701886	0.2603051	-0.133019	2.052481	0.3052757	-0.133019	1.683079	0.2667963	-0.133019	1.451908	0.2365139	-0.133019	1.346514	0.2390008	-0.133019	1.426723	0.2313904	-0.133019	1.480875	0.2473895	-0.133019	1.294289	0.2794946	-0.133019	2.01084	0.5594885	-0.133019	2.924589	1.501877
-0.132419	0.5139772	0.1640935	-0.132419	0.7894988	0.2129089	-0.132419	1.328972	0.4208166	-0.132419	1.246444	0.2780333	-0.132419	1.69064	0.290425	-0.132419	1.715013	0.2767357	-0.132419	1.432597	0.2394728	-0.132419	1.483687	0.2362926	-0.132419	2.2473	0.2976989	-0.132419	1.476423	0.2589284	-0.132419	1.551744	0.2562093	-0.132419	1.716854	0.2557602	-0.132419	1.469608	0.2505735	-0.132419	1.3643	0.2260666	-0.132419	1.227815	0.2251221	-0.132419	1.716608	0.3223576	-0.132419	1.580453	0.4933221	-0.132419	0.5649185	0.6635624
-0.131819	0.4098708	0.1664076	-0.131819	0.5424838	0.1936476	-0.131819	1.112647	0.3837034	-0.131819	1.353736	0.2879794	-0.131819	2.040951	0.3176947	-0.131819	1.547343	0.2614746	-0.131819	1.479034	0.2472726	-0.131819	1.435373	0.2323972	-0.131819	1.633743	0.2546669	-0.131819	1.744554	0.2812486	-0.131819	1.675313	0.2658333	-0.131819	1.767449	0.2562823	-0.131819	1.347654	0.2412932	-0.131819	1.315793	0.2217715	-0.131819	1.095269	0.2197962	-0.131819	1.661981	0.3170782	-0.131819	1.159765	0.4218321	-0.131819	0.1569335	0.3496477
-0.131219	0.3461234	0.1680235	-0.131219	0.8020752	0.2085433	-0.131219	1.529168	0.4494366	-0.131219	1.337918	0.2848792	-0.131219	1.513993	0.2726624	-0.131219	1.748317	0.2743456	-0.131219	1.515992	0.2447989	-0.131219	1.685892	0.2570524	-0.131219	1.230246	0.2197058	-0.131219	1.576594	0.2672485	-0.131219	1.840634	0.278148	-0.131219	1.665761	0.2485034	-0.131219	1.622182	0.2631192	-0.131219	1.446028	0.2320288	-0.131219	1.370048	0.2390005	-0.131219	1.252407	0.2743459	-0.131219	1.258632	0.4382144	-0.131219	1.114303	0.925912
