E- (meV)	but_OD_250K_0.29A-1	E+ (meV)	but_OD_250K_0.29A-1	E- (meV)	but_OD_250K_0.44A-1	E+ (meV)	but_OD_250K_0.44A-1	E- (meV)	but_OD_250K_0.59A-1	E+ (meV)	but_OD_250K_0.59A-1	E- (meV)	but_OD_250K_0.71A-1	E+ (meV)	but_OD_250K_0.71A-1	E- (meV)	but_OD_250K_0.84A-1	E+ (meV)	but_OD_250K_0.84A-1	E- (meV)	but_OD_250K_0.95A-1	E+ (meV)	but_OD_250K_0.95A-1	E- (meV)	but_OD_250K_1.07A-1	E+ (meV)	but_OD_250K_1.07A-1	E- (meV)	but_OD_250K_1.18A-1	E+ (meV)	but_OD_250K_1.18A-1	E- (meV)	but_OD_250K_1.29A-1	E+ (meV)	but_OD_250K_1.29A-1	E- (meV)	but_OD_250K_1.39A-1	E+ (meV)	but_OD_250K_1.39A-1	E- (meV)	but_OD_250K_1.48A-1	E+ (meV)	but_OD_250K_1.48A-1	E- (meV)	but_OD_250K_1.57A-1	E+ (meV)	but_OD_250K_1.57A-1	E- (meV)	but_OD_250K_1.65A-1	E+ (meV)	but_OD_250K_1.65A-1	E- (meV)	but_OD_250K_1.72A-1	E+ (meV)	but_OD_250K_1.72A-1	E- (meV)	but_OD_250K_1.79A-1	E+ (meV)	but_OD_250K_1.79A-1	E- (meV)	but_OD_250K_1.84A-1	E+ (meV)	but_OD_250K_1.84A-1	E- (meV)	but_OD_250K_1.89A-1	E+ (meV)	but_OD_250K_1.89A-1	E- (meV)	but_OD_250K_1.93A-1	E+ (meV)	but_OD_250K_1.93A-1
0.0004189682	0.02230024596914255	0.0001810318	0.010556470273727197	0.0004189682	0.015005505302317262	0.0001810318	0.006504461359129223	0.0004189682	0.009594028867733943	0.0001810318	0.004254640907317894	0.0004189682	0.006760786623506592	0.0001810318	0.0029383288891565093	0.0004189682	0.0037459087251334507	0.0001810318	0.0016813434276504845	0.0004189682	0.0025407644171808654	0.0001810318	0.0010644543134067258	0.0004189682	0.0018424053899336425	0.0001810318	0.0007479556381381079	0.0004189682	0.0012172470789026505	0.0001810318	0.0004722531607758249	0.0004189682	0.0008948443884928832	0.0001810318	0.0003897774492425814	0.0004189682	0.0007114686822664338	0.0001810318	0.00030045960476079265	0.0004189682	0.0006620800411174876	0.0001810318	0.00029399022787843096	0.0004189682	0.0005290602690365085	0.0001810318	0.00024096092561594833	0.0004189682	0.00034541561234450205	0.0001810318	0.00019008096334216745	0.0004189682	0.00043845524397895545	0.0001810318	0.00015055654471971317	0.0004189682	0.0003999887288922	0.0001810318	0.00014825601677130655	0.0004189682	0.0003023644754870818	0.0001810318	0.0001590302510333016	0.0004189682	0.0002775333579811271	0.0001810318	9.66636469053139e-05	0.0004189682	0.0003434301933693225	0.0001810318	5.311644587257269e-05
0.001018968	0.04556101612969137	0.0007810318	0.04472769612207313	0.001018968	0.03337518902049772	0.0007810318	0.02731598734847756	0.001018968	0.02191850875785248	0.0007810318	0.01739469312844978	0.001018968	0.015269912167120809	0.0007810318	0.01243220664314068	0.001018968	0.009064258651963088	0.0007810318	0.007044957719690263	0.001018968	0.006120706993668012	0.0007810318	0.004693018574026773	0.001018968	0.004004460394321118	0.0007810318	0.0031900450889988906	0.001018968	0.0027525698381932052	0.0007810318	0.0021307380366323908	0.001018968	0.0022834158734096393	0.0007810318	0.0016385565145282284	0.001018968	0.0018294870784679998	0.0007810318	0.001319230712891015	0.001018968	0.001683830080786434	0.0007810318	0.0011856123412137271	0.001018968	0.0011081636748925382	0.0007810318	0.0009751750514024281	0.001018968	0.0011743194599742766	0.0007810318	0.0008165622459535948	0.001018968	0.0010106971779486845	0.0007810318	0.0006309540169770828	0.001018968	0.0009566259813638688	0.0007810318	0.000574194653842717	0.001018968	0.0006745998448314981	0.0007810318	0.0005389859355757924	0.001018968	0.0006674562296159917	0.0007810318	0.00043361399041334076	0.001018968	0.0013956446304735845	0.0007810318	0.00034180262606506637
0.001618968	0.05556393969622226	0.001381032	0.07073397231819907	0.001618968	0.04680202744282549	0.001381032	0.04435630248369106	0.001618968	0.031062486893625042	0.001381032	0.02802183618049206	0.001618968	0.022080080736129527	0.001381032	0.020607591059213788	0.001618968	0.013516497544698103	0.001381032	0.011973835801357016	0.001618968	0.0089443165326406	0.001381032	0.008067098561712598	0.001618968	0.006464073531085994	0.001381032	0.005565137466957433	0.001618968	0.004388844147317012	0.001381032	0.0038009618600571113	0.001618968	0.0034945607633420413	0.001381032	0.0029215806690158553	0.001618968	0.002828746660194244	0.001381032	0.00245140342769745	0.001618968	0.0026022228235423922	0.001381032	0.002020135753605577	0.001618968	0.0019440061048748903	0.001381032	0.0014769093794350994	0.001618968	0.0018775271609159463	0.001381032	0.0012489223941916435	0.001618968	0.001409328868901746	0.001381032	0.001176923281957133	0.001618968	0.0013398288201287973	0.001381032	0.0011004314750626325	0.001618968	0.0011503699447734947	0.001381032	0.0009936175537943186	0.001618968	0.0011574554696697984	0.001381032	0.0009256286181147582	0.001618968	0.0017710516318346094	0.001381032	0.0004855676758515726
0.002218968	0.05464951218956755	0.001981032	0.0851490292701723	0.002218968	0.053899436518248856	0.001981032	0.05471695898043091	0.002218968	0.03743721875917469	0.001981032	0.033986318588993016	0.002218968	0.027623834975212692	0.001981032	0.026768098967398967	0.002218968	0.01769393850931519	0.001981032	0.015804589983812997	0.002218968	0.011292831109406704	0.001981032	0.011211308015883392	0.002218968	0.008482725143497502	0.001981032	0.00746495848619871	0.002218968	0.0058013866443172996	0.001981032	0.005194888135580122	0.002218968	0.004980273994971984	0.001981032	0.004306773815514843	0.002218968	0.0035863027417573686	0.001981032	0.0032128396372973034	0.002218968	0.0033163382787530843	0.001981032	0.0027888736661016854	0.002218968	0.002885450402092298	0.001981032	0.0021847690269594156	0.002218968	0.00255836899862879	0.001981032	0.0017397880477765134	0.002218968	0.0020084569696131116	0.001981032	0.0017673336309764302	0.002218968	0.001695770650563487	0.001981032	0.0014345729908799704	0.002218968	0.0015073106998798507	0.001981032	0.0013228821578918494	0.002218968	0.001619879651625801	0.001981032	0.001449002826462816	0.002218968	0.0026073185635030398	0.001981032	0.0013869402630794616
0.002818968	0.04943392488183671	0.002581032	0.08298630845293435	0.002818968	0.05475443873329454	0.002581032	0.058109501171852186	0.002818968	0.039494596239133296	0.002581032	0.038084473523568654	0.002818968	0.03017927964758549	0.002581032	0.030380003430588734	0.002818968	0.019703780321272266	0.002581032	0.01886517407252518	0.002818968	0.01350674800053599	0.002581032	0.01349633871897473	0.002818968	0.009909704226803429	0.002581032	0.009552134272193967	0.002818968	0.007254508036013853	0.002581032	0.006333406615029378	0.002818968	0.006068787295201981	0.002581032	0.0051796538474011425	0.002818968	0.004812105266178938	0.002581032	0.0037563424615015464	0.002818968	0.0038159100766144297	0.002581032	0.003826753540354921	0.002818968	0.003290029828119698	0.002581032	0.0028104932666748227	0.002818968	0.002938165273272292	0.002581032	0.00228563558709901	0.002818968	0.002300308761530391	0.002581032	0.0021902029149751855	0.002818968	0.0023469571444359088	0.002581032	0.0017006994373313894	0.002818968	0.0017447855972922701	0.002581032	0.0012541168949605	0.002818968	0.0022325993346815434	0.002581032	0.0012117894806265928	0.002818968	0.0008052862611383548	0.002581032	0.001900009564603305
0.003418968	0.041906366941637296	0.003181032	0.06701851704251605	0.003418968	0.05352730802867505	0.003181032	0.05556033760140943	0.003418968	0.04179684587016382	0.003181032	0.038609647983689904	0.003418968	0.032846149669411455	0.003181032	0.03378590036464577	0.003418968	0.021360742466498068	0.003181032	0.02216857103858624	0.003418968	0.01674264301097735	0.003181032	0.015063090623751049	0.003418968	0.011391298361438758	0.003181032	0.010699774183628172	0.003418968	0.008379855323555	0.003181032	0.007961872945189113	0.003418968	0.0070660960960156755	0.003181032	0.0058818849279280334	0.003418968	0.005608874985096671	0.003181032	0.004440935811747536	0.003418968	0.004519763345009201	0.003181032	0.003975699661656028	0.003418968	0.004196079091136791	0.003181032	0.003141933494241118	0.003418968	0.0034599269640586397	0.003181032	0.0032257818414276472	0.003418968	0.0026526407390081706	0.003181032	0.0025407026055254142	0.003418968	0.0027180706664471106	0.003181032	0.0024458281969730955	0.003418968	0.0023357341765745895	0.003181032	0.0017306032055610394	0.003418968	0.0021251121671763524	0.003181032	0.001242143260069155	0.003418968	0.0015244106552995782	0.003181032	0.0005006780887099337
0.004018968	0.035582494271914726	0.003781032	0.0525429577477181	0.004018968	0.05122080748680161	0.003781032	0.05116553904080012	0.004018968	0.042024919635100355	0.003781032	0.0384491829866275	0.004018968	0.033294534177832805	0.003781032	0.03386432052123395	0.004018968	0.023527248291302046	0.003781032	0.024325206535328898	0.004018968	0.018606579679116525	0.003781032	0.017244244392766332	0.004018968	0.0126613368972434	0.003781032	0.012335830194706332	0.004018968	0.009480136203759393	0.003781032	0.009072321998895025	0.004018968	0.007149482588636738	0.003781032	0.00675943377979504	0.004018968	0.005898827351735622	0.003781032	0.005505399287190674	0.004018968	0.0053022739004312995	0.003781032	0.0048109313237604786	0.004018968	0.004501357161088678	0.003781032	0.0039499052840506485	0.004018968	0.0037137894736639964	0.003781032	0.003407423825666106	0.004018968	0.0032242892644036725	0.003781032	0.002810558925810085	0.004018968	0.002781016338380055	0.003781032	0.002503243771760384	0.004018968	0.002738922425686722	0.003781032	0.002683949448851036	0.004018968	0.002117972006784931	0.003781032	0.0017782780555511439	0.004018968	0.0019365350926553132	0.003781032	0.0004184761191313801
0.004618968	0.028367263570283994	0.004381032	0.03994584698997206	0.004618968	0.0459182379227669	0.004381032	0.04755095832617485	0.004618968	0.04149676849970565	0.004381032	0.04065485180391776	0.004618968	0.03261894178797702	0.004381032	0.034536798677303096	0.004618968	0.02570543192257887	0.004381032	0.02577719812140153	0.004618968	0.019168372837962026	0.004381032	0.018558590197815944	0.004618968	0.014913548716959856	0.004381032	0.013910737180401051	0.004618968	0.010648417889184688	0.004381032	0.009681717566533798	0.004618968	0.008728925112702266	0.004381032	0.007905810275755812	0.004618968	0.007016078438813609	0.004381032	0.006374613100482453	0.004618968	0.005652262663844289	0.004381032	0.005820933419213046	0.004618968	0.005288902747946623	0.004381032	0.004490451125194748	0.004618968	0.004085763816081569	0.004381032	0.004115657672343328	0.004618968	0.003824578393634511	0.004381032	0.003357419411825807	0.004618968	0.0028976598769267447	0.004381032	0.002839036338319111	0.004618968	0.002770826082291015	0.004381032	0.0029087115890753753	0.004618968	0.0029889537215017042	0.004381032	0.0020972652286849135	0.004618968	0.0012564434678284846	0.004381032	0.0008919251046582002
0.005218968	0.02470207773391443	0.004981032	0.03252779941763295	0.005218968	0.04087260599007057	0.004981032	0.04409872103610427	0.005218968	0.03820636452725076	0.004981032	0.039711991226026484	0.005218968	0.03286586661891018	0.004981032	0.03459726400993019	0.005218968	0.026965552995765005	0.004981032	0.026650903162618627	0.005218968	0.019373217915364685	0.004981032	0.019870307026961916	0.005218968	0.016563292854780604	0.004981032	0.015215825587027807	0.005218968	0.01222167643723837	0.004981032	0.010880015504528886	0.005218968	0.010366166078336837	0.004981032	0.00973118772123146	0.005218968	0.008319666217125562	0.004981032	0.007727575242749316	0.005218968	0.006433705774372995	0.004981032	0.006700495794546762	0.005218968	0.005597583235704393	0.004981032	0.004999821196698479	0.005218968	0.0044064502443704615	0.004981032	0.004692338234689796	0.005218968	0.003720020637599457	0.004981032	0.0037249767108980965	0.005218968	0.003404816410034928	0.004981032	0.003078638976400495	0.005218968	0.0032975861409994117	0.004981032	0.003517120218596681	0.005218968	0.0032003216999319383	0.004981032	0.00263152440369896	0.005218968	0.0019215734542066879	0.004981032	0.004583697861987502
0.005818968	0.0224248379881729	0.005581032	0.026760909890502928	0.005818968	0.03986971676878311	0.005581032	0.038469901963425125	0.005818968	0.03893790515384366	0.005581032	0.037671776315945295	0.005818968	0.03459442701740938	0.005581032	0.03344847027148864	0.005818968	0.027286373033882105	0.005581032	0.026396964790554027	0.005818968	0.021696513267941843	0.005581032	0.020382634488807033	0.005818968	0.0172258441530284	0.005581032	0.015840831725208532	0.005818968	0.012523580014980393	0.005581032	0.012800274017371428	0.005818968	0.010071646528268646	0.005581032	0.01128586235818195	0.005818968	0.008413617454054721	0.005581032	0.008185664331108521	0.005818968	0.006984600883808669	0.005581032	0.006558151711223451	0.005818968	0.005795722103023808	0.005581032	0.005614931395978907	0.005818968	0.0050604204225333455	0.005581032	0.0042383304572559495	0.005818968	0.004201840157043332	0.005581032	0.003673326114909513	0.005818968	0.004076865918644161	0.005581032	0.0035270523118934266	0.005818968	0.003811013265314828	0.005581032	0.003322240831646269	0.005818968	0.0032897118700805704	0.005581032	0.0032724144331356905	0.005818968	0.0022574213340959427	0.005581032	0.007166866247422529
