# MSlice Cut of workspace "PLET_thf_background_summed_1.05meV_coh_rings"
# Cut axis: DeltaE,-3.0,0.699999988079071,0.014979757368564606
# Integration axis: |Q|,0.8999999999999999,0.9999999999999999,0.0
# (Energy Transfer (meV)) (Signal) (Error)
-3.000000000e+00 -1.981605857e-04 7.788509225e-04
-2.984959350e+00 2.176727290e-04 5.395420495e-04
-2.969918699e+00 9.894142441e-04 8.542334879e-04
-2.954878049e+00 1.084517410e-03 6.602422696e-04
-2.939837399e+00 -1.071070158e-03 6.536089542e-04
-2.924796748e+00 -8.483877287e-04 6.438870053e-04
-2.909756098e+00 2.179028700e-04 7.156000261e-04
-2.894715447e+00 -9.131378311e-06 8.854423502e-04
-2.879674797e+00 7.272877269e-04 4.935682330e-04
-2.864634147e+00 1.658875551e-03 1.105987446e-03
-2.849593496e+00 -6.010923585e-04 1.314169347e-03
-2.834552846e+00 1.682555591e-04 7.363405274e-04
-2.819512196e+00 -1.063024222e-03 6.908321560e-04
-2.804471545e+00 1.966857777e-03 8.957088166e-04
-2.789430895e+00 -8.499234611e-04 5.083352648e-04
-2.774390245e+00 9.986491743e-04 6.125929660e-04
-2.759349594e+00 -7.858294946e-04 4.708417979e-04
-2.744308944e+00 0.000000000e+00 0.000000000e+00
-2.729268294e+00 -8.193588056e-05 7.413629433e-04
-2.714227643e+00 1.562549497e-03 1.262269603e-03
-2.699186993e+00 -1.081765929e-03 1.503532996e-03
-2.684146342e+00 -2.238699267e-05 9.400035353e-04
-2.669105692e+00 -8.221673293e-04 7.736497885e-04
-2.654065042e+00 5.386683785e-04 5.906690626e-04
-2.639024391e+00 6.259984205e-05 1.140954839e-03
-2.623983741e+00 5.123711970e-03 1.604319813e-03
-2.608943091e+00 -1.068245738e-03 6.393732162e-04
-2.593902440e+00 -1.202698968e-03 9.011724647e-04
-2.578861790e+00 -1.659192278e-04 1.204440291e-03
-2.563821140e+00 6.970840911e-04 1.045708216e-03
-2.548780489e+00 0.000000000e+00 0.000000000e+00
-2.533739839e+00 5.826509190e-04 1.239614160e-03
-2.518699189e+00 3.913382509e-03 1.718082290e-03
-2.503658538e+00 5.938653049e-03 2.156370994e-03
-2.488617888e+00 -9.897790732e-04 5.931248375e-04
-2.473577237e+00 0.000000000e+00 0.000000000e+00
-2.458536587e+00 -1.442366395e-03 8.673561725e-04
-2.443495937e+00 -3.786838848e-03 1.518460262e-03
-2.428455286e+00 -1.374925705e-03 8.032382259e-04
-2.413414636e+00 6.243874172e-04 6.397919222e-04
-2.398373986e+00 -1.795688720e-03 1.467986064e-03
-2.383333335e+00 -8.524538893e-05 2.181726279e-04
-2.368292685e+00 0.000000000e+00 0.000000000e+00
-2.353252035e+00 -2.387513459e-04 3.550748158e-04
-2.338211384e+00 1.397998759e-03 8.670887793e-04
-2.323170734e+00 1.972594995e-03 1.407340580e-03
-2.308130084e+00 5.626512902e-04 7.520970042e-04
-2.293089433e+00 -8.429943280e-04 6.916338383e-04
-2.278048783e+00 -1.580530261e-03 9.259975419e-04
-2.263008132e+00 0.000000000e+00 0.000000000e+00
-2.247967482e+00 0.000000000e+00 0.000000000e+00
-2.232926832e+00 -1.284224343e-03 7.680732660e-04
-2.217886181e+00 0.000000000e+00 0.000000000e+00
-2.202845531e+00 4.454730564e-03 2.015238072e-03
-2.187804881e+00 0.000000000e+00 0.000000000e+00
-2.172764230e+00 2.237307986e-03 1.414032129e-03
-2.157723580e+00 3.630396757e-03 2.285430404e-03
-2.142682930e+00 0.000000000e+00 0.000000000e+00
-2.127642279e+00 2.196442386e-03 1.654686235e-03
-2.112601629e+00 0.000000000e+00 0.000000000e+00
-2.097560979e+00 -1.124669778e-04 1.477248916e-03
-2.082520328e+00 0.000000000e+00 0.000000000e+00
-2.067479678e+00 1.236092497e-03 1.886571553e-03
-2.052439027e+00 2.235298972e-03 1.415908265e-03
-2.037398377e+00 1.641058777e-03 2.261851164e-03
-2.022357727e+00 2.621513841e-03 1.578191747e-03
-2.007317076e+00 2.922533581e-03 1.964611564e-03
-1.992276426e+00 -2.536965206e-04 2.047615932e-03
-1.977235776e+00 -4.607923145e-03 3.061123552e-03
-1.962195125e+00 -1.079982732e-03 1.482782072e-03
-1.947154475e+00 3.526376668e-03 2.211088333e-03
-1.932113825e+00 0.000000000e+00 0.000000000e+00
-1.917073174e+00 2.403615214e-03 1.643520454e-03
-1.902032524e+00 1.385149107e-04 3.577033589e-04
-1.886991874e+00 6.430211789e-03 3.135187938e-03
-1.871951223e+00 -2.668839822e-03 1.361150771e-03
-1.856910573e+00 -1.695700136e-04 3.095845612e-04
-1.841869922e+00 1.813602305e-03 1.423030848e-03
-1.826829272e+00 0.000000000e+00 0.000000000e+00
-1.811788622e+00 9.939245691e-05 3.030905779e-04
-1.796747971e+00 2.209755189e-03 1.428341278e-03
-1.781707321e+00 0.000000000e+00 0.000000000e+00
-1.766666671e+00 0.000000000e+00 0.000000000e+00
-1.751626020e+00 7.180465017e-03 8.518842408e-03
-1.736585370e+00 1.648217690e-02 1.270826858e-02
-1.721544720e+00 5.007697238e-04 3.470652752e-03
-1.706504069e+00 -1.662618044e-03 1.179937963e-03
-1.691463419e+00 0.000000000e+00 0.000000000e+00
-1.676422768e+00 -1.967724070e-03 1.183505596e-03
-1.661382118e+00 -2.360768473e-03 1.291508901e-03
-1.646341468e+00 0.000000000e+00 0.000000000e+00
-1.631300817e+00 -3.388825564e-03 1.550769169e-03
-1.616260167e+00 2.633467169e-03 1.956863377e-03
-1.601219517e+00 -1.914134166e-03 1.144265609e-03
-1.586178866e+00 7.495972921e-03 4.912594717e-03
-1.571138216e+00 0.000000000e+00 0.000000000e+00
-1.556097566e+00 1.315534715e-03 2.507950543e-03
-1.541056915e+00 0.000000000e+00 0.000000000e+00
-1.526016265e+00 0.000000000e+00 0.000000000e+00
-1.510975615e+00 0.000000000e+00 0.000000000e+00
-1.495934964e+00 0.000000000e+00 0.000000000e+00
-1.480894314e+00 0.000000000e+00 0.000000000e+00
-1.465853663e+00 2.669364241e-03 1.717331377e-03
-1.450813013e+00 -1.754502686e-03 1.049455105e-03
-1.435772363e+00 0.000000000e+00 0.000000000e+00
-1.420731712e+00 0.000000000e+00 0.000000000e+00
-1.405691062e+00 -2.336198079e-03 1.405446673e-03
-1.390650412e+00 -2.529048489e-03 1.527142921e-03
-1.375609761e+00 7.392049677e-03 4.436972016e-03
-1.360569111e+00 -5.912545684e-03 2.218253411e-03
-1.345528461e+00 0.000000000e+00 0.000000000e+00
-1.330487810e+00 5.368458226e-03 3.341757064e-03
-1.315447160e+00 3.168790998e-03 2.082596754e-03
-1.300406510e+00 0.000000000e+00 0.000000000e+00
-1.285365859e+00 0.000000000e+00 0.000000000e+00
