# MSlice Cut of workspace "PLET_thf_background_summed_1.05meV_coh_rings"
# Cut axis: DeltaE,-3.0,0.699999988079071,0.014979757368564606
# Integration axis: |Q|,0.9999999999999999,1.0999999999999999,0.0
# (Energy Transfer (meV)) (Signal) (Error)
-3.000000000e+00 -2.119162480e-04 6.210808497e-04
-2.984959350e+00 5.319228015e-04 7.042900391e-04
-2.969918699e+00 -2.872812428e-03 1.559787692e-03
-2.954878049e+00 -1.953846864e-03 1.135060621e-03
-2.939837399e+00 1.615286828e-03 9.928334979e-04
-2.924796748e+00 -4.806939980e-04 8.992447839e-04
-2.909756098e+00 -2.057724195e-03 1.232460236e-03
-2.894715447e+00 -8.197517599e-04 7.104715795e-04
-2.879674797e+00 2.589423686e-03 1.589799138e-03
-2.864634147e+00 -3.300962395e-03 1.302578270e-03
-2.849593496e+00 -1.991043532e-03 9.577749951e-04
-2.834552846e+00 7.637850731e-04 1.243338675e-03
-2.819512196e+00 0.000000000e+00 0.000000000e+00
-2.804471545e+00 -8.780055801e-04 7.584950202e-04
-2.789430895e+00 -4.924721702e-04 5.678858350e-04
-2.774390245e+00 0.000000000e+00 0.000000000e+00
-2.759349594e+00 0.000000000e+00 0.000000000e+00
-2.744308944e+00 0.000000000e+00 0.000000000e+00
-2.729268294e+00 9.370673775e-04 8.317011551e-04
-2.714227643e+00 -3.125752263e-04 1.310125111e-03
-2.699186993e+00 1.332557775e-04 2.788857063e-04
-2.684146342e+00 0.000000000e+00 0.000000000e+00
-2.669105692e+00 1.943570441e-03 1.211551270e-03
-2.654065042e+00 1.760797943e-03 1.082560904e-03
-2.639024391e+00 -1.352919733e-03 7.965689521e-04
-2.623983741e+00 -1.789238105e-03 1.019402737e-03
-2.608943091e+00 -3.818452290e-05 1.435723512e-04
-2.593902440e+00 -1.155571137e-03 1.698926011e-03
-2.578861790e+00 0.000000000e+00 0.000000000e+00
-2.563821140e+00 -2.044231522e-03 1.223904816e-03
-2.548780489e+00 -3.551542598e-03 2.129380837e-03
-2.533739839e+00 -1.638380008e-03 9.859958639e-04
-2.518699189e+00 -1.091050558e-03 1.463281786e-03
-2.503658538e+00 -3.368402505e-04 1.414185819e-03
-2.488617888e+00 2.703940530e-03 1.732153698e-03
-2.473577237e+00 -3.596534046e-04 4.553202632e-04
-2.458536587e+00 -5.015312644e-03 1.823348805e-03
-2.443495937e+00 2.840223066e-03 1.850525498e-03
-2.428455286e+00 -4.622075020e-04 5.254096834e-04
-2.413414636e+00 0.000000000e+00 0.000000000e+00
-2.398373986e+00 -1.394783215e-03 8.592255539e-04
-2.383333335e+00 -2.494288335e-03 1.178463646e-03
-2.368292685e+00 -4.813099763e-04 1.029389658e-03
-2.353252035e+00 -7.504516194e-03 3.699499012e-03
-2.338211384e+00 0.000000000e+00 0.000000000e+00
-2.323170734e+00 0.000000000e+00 0.000000000e+00
-2.308130084e+00 0.000000000e+00 0.000000000e+00
-2.293089433e+00 9.679643372e-04 1.941166979e-03
-2.278048783e+00 -1.137271556e-03 1.510117671e-03
-2.263008132e+00 3.966900525e-04 1.267516210e-03
-2.247967482e+00 0.000000000e+00 0.000000000e+00
-2.232926832e+00 2.071704131e-03 1.286772847e-03
-2.217886181e+00 -1.602981429e-03 9.598396336e-04
-2.202845531e+00 2.088787366e-03 1.300715565e-03
-2.187804881e+00 -1.695043822e-03 1.016247053e-03
-2.172764230e+00 0.000000000e+00 0.000000000e+00
-2.157723580e+00 0.000000000e+00 0.000000000e+00
-2.142682930e+00 0.000000000e+00 0.000000000e+00
-2.127642279e+00 5.123782870e-04 1.283501427e-03
-2.112601629e+00 0.000000000e+00 0.000000000e+00
-2.097560979e+00 -1.157255228e-03 1.452861094e-03
-2.082520328e+00 0.000000000e+00 0.000000000e+00
-2.067479678e+00 -1.936739559e-03 1.133144359e-03
-2.052439027e+00 0.000000000e+00 0.000000000e+00
-2.037398377e+00 0.000000000e+00 0.000000000e+00
-2.022357727e+00 0.000000000e+00 0.000000000e+00
-2.007317076e+00 0.000000000e+00 0.000000000e+00
-1.992276426e+00 1.176695279e-03 1.194650497e-03
-1.977235776e+00 2.570940983e-03 1.628237326e-03
-1.962195125e+00 4.961656483e-04 1.752703021e-03
-1.947154475e+00 -2.232769359e-03 1.334840244e-03
-1.932113825e+00 0.000000000e+00 0.000000000e+00
-1.917073174e+00 0.000000000e+00 0.000000000e+00
-1.902032524e+00 -2.983565519e-03 1.534652666e-03
-1.886991874e+00 -2.208575873e-03 1.211169495e-03
-1.871951223e+00 2.760570240e-03 1.785700027e-03
-1.856910573e+00 0.000000000e+00 0.000000000e+00
-1.841869922e+00 -8.311445003e-04 1.456344047e-03
-1.826829272e+00 1.988737822e-03 1.401670233e-03
-1.811788622e+00 0.000000000e+00 0.000000000e+00
-1.796747971e+00 -1.246691007e-03 9.569590417e-04
-1.781707321e+00 6.428238255e-04 2.292058833e-03
-1.766666671e+00 0.000000000e+00 0.000000000e+00
-1.751626020e+00 0.000000000e+00 0.000000000e+00
-1.736585370e+00 -1.854475695e-03 1.184291494e-03
-1.721544720e+00 -1.618539380e-03 1.045996464e-03
-1.706504069e+00 -3.578802862e-03 1.823655571e-03
-1.691463419e+00 1.419085184e-03 1.193982618e-03
-1.676422768e+00 7.505635916e-04 1.132023081e-03
-1.661382118e+00 -3.604140655e-03 1.676057054e-03
-1.646341468e+00 -4.977677731e-03 1.979080531e-03
-1.631300817e+00 1.168698418e-03 2.701331178e-03
-1.616260167e+00 -1.673000615e-03 1.323368936e-03
-1.601219517e+00 -4.023493271e-03 1.726918057e-03
-1.586178866e+00 -4.345237395e-05 1.660503562e-04
-1.571138216e+00 2.646477126e-03 1.703931927e-03
-1.556097566e+00 3.138451743e-03 1.979491178e-03
-1.541056915e+00 -1.925133258e-03 1.218513263e-03
-1.526016265e+00 -1.595909898e-03 1.062025624e-03
-1.510975615e+00 3.548866913e-03 2.552975424e-03
-1.495934964e+00 2.649391261e-03 1.769393863e-03
-1.480894314e+00 1.635585875e-04 4.393613717e-04
-1.465853663e+00 2.570576222e-03 3.032946799e-03
-1.450813013e+00 0.000000000e+00 0.000000000e+00
-1.435772363e+00 0.000000000e+00 0.000000000e+00
-1.420731712e+00 0.000000000e+00 0.000000000e+00
-1.405691062e+00 1.052171500e-03 1.171209434e-03
-1.390650412e+00 2.029699076e-03 1.626879221e-03
-1.375609761e+00 1.621932204e-03 2.541269079e-03
-1.360569111e+00 -2.015801532e-03 1.205083601e-03
-1.345528461e+00 0.000000000e+00 0.000000000e+00
-1.330487810e+00 4.475063970e-03 2.465801150e-03
-1.315447160e+00 0.000000000e+00 0.000000000e+00
-1.300406510e+00 5.683437648e-03 2.632337932e-03
-1.285365859e+00 -1.770762133e-03 1.060592100e-03
-1.270325209e+00 2.758666371e-03 1.792129569e-03
-1.255284558e+00 2.047206649e-05 1.544434959e-04
-1.240243908e+00 3.244855731e-03 2.654856141e-03
-1.225203258e+00 -9.439717650e-04 1.999867553e-03
-1.210162607e+00 0.000000000e+00 0.000000000e+00
-1.195121957e+00 8.327206314e-04 1.053307697e-03
-1.180081307e+00 2.197734143e-03 1.707739287e-03
-1.165040656e+00 -1.804029172e-03 1.221680274e-03
-1.150000006e+00 7.517239814e-03 3.526306157e-03
-1.134959356e+00 3.245690725e-03 3.170507499e-03
-1.119918705e+00 -3.868354008e-03 1.939219495e-03
-1.104878055e+00 3.701314507e-03 2.399311607e-03
-1.089837405e+00 -2.141242873e-03 1.288848239e-03
-1.074796754e+00 0.000000000e+00 0.000000000e+00
-1.059756104e+00 0.000000000e+00 0.000000000e+00
-1.044715453e+00 3.988364441e-03 2.602637057e-03
-1.029674803e+00 0.000000000e+00 0.000000000e+00
-1.014634153e+00 -1.920002730e-04 4.321747099e-04
-9.995935024e-01 1.560772400e-03 3.025278699e-03
-9.845528520e-01 -4.508092453e-03 1.927561959e-03
-9.695122017e-01 -2.677684511e-03 1.638103708e-03
-9.544715513e-01 -4.171075101e-03 1.777267177e-03
-9.394309009e-01 7.234842757e-03 4.153256594e-03
-9.243902506e-01 -2.698327702e-03 1.647386100e-03
-9.093496002e-01 -2.251241907e-03 1.325760672e-03
-8.943089499e-01 1.671028642e-03 3.072490925e-03
-8.792682995e-01 0.000000000e+00 0.000000000e+00
-8.642276492e-01 5.289130627e-03 2.695944791e-03
-8.491869988e-01 3.919106415e-03 2.344336762e-03
-8.341463484e-01 -8.123761279e-04 3.574185404e-03
-8.191056981e-01 3.005792537e-03 3.239584973e-03
-8.040650477e-01 3.080918704e-03 3.498948987e-03
-7.890243974e-01 1.422420290e-02 4.918090697e-03
-7.739837470e-01 4.442434328e-03 3.127060370e-03
-7.589430967e-01 -1.880944643e-03 1.373000321e-03
-7.439024463e-01 6.963470960e-03 3.798969712e-03
-7.288617959e-01 -2.101123699e-03 3.855967504e-03
-7.138211456e-01 1.496824559e-03 1.739533610e-03
-6.987804952e-01 -5.140006733e-03 2.222492721e-03
-6.837398449e-01 6.927224643e-03 3.735864702e-03
-6.686991945e-01 8.007932140e-04 3.102559543e-03
-6.536585441e-01 0.000000000e+00 0.000000000e+00
-6.386178938e-01 -1.795826721e-03 2.405006615e-03
-6.235772434e-01 -1.306193497e-03 3.583292010e-03
-6.085365931e-01 -3.116978152e-03 2.022491228e-03
-5.934959427e-01 -5.050892296e-03 2.145765902e-03
-5.784552924e-01 -2.574645810e-03 4.566416907e-03
-5.634146420e-01 -1.137216037e-02 4.928461079e-03
-5.483739916e-01 4.397682542e-03 4.046002541e-03
-5.333333413e-01 5.161785239e-03 3.087983035e-03
-5.182926909e-01 -2.153545835e-03 1.495342399e-03
-5.032520406e-01 4.119208610e-03 2.992172473e-03
-4.882113902e-01 2.065878239e-03 4.044362421e-03
-4.731707398e-01 1.132616931e-02 5.144443849e-03
-4.581300895e-01 -2.894802551e-03 3.385984645e-03
-4.430894391e-01 0.000000000e+00 0.000000000e+00
-4.280487888e-01 -4.381377358e-03 2.545032554e-03
-4.130081384e-01 3.605116940e-03 4.554744714e-03
-3.979674881e-01 5.199214899e-03 3.579069813e-03
-3.829268377e-01 -1.114909247e-03 3.804251538e-03
-3.678861873e-01 1.255119354e-03 3.824027134e-03
-3.528455370e-01 5.853082812e-03 4.147388976e-03
-3.378048866e-01 -2.527117133e-03 6.368685472e-03
-3.227642363e-01 5.805461693e-03 3.619960263e-03
-3.077235859e-01 1.054751191e-02 6.170415682e-03
-2.926829356e-01 7.915825138e-03 4.153225066e-03
-2.776422852e-01 3.243768461e-03 3.939990205e-03
-2.626016348e-01 -2.790946147e-03 1.767172207e-03
-2.475609845e-01 -1.494891062e-03 5.922153183e-03
-2.325203341e-01 2.965476250e-03 3.629622872e-03
-2.174796838e-01 -1.621355816e-03 1.348886632e-03
-2.024390334e-01 -7.060872010e-04 4.818129193e-03
-1.873983830e-01 1.194631683e-02 5.769574042e-03
-1.723577327e-01 -6.192398149e-04 9.749337656e-04
-1.573170823e-01 -4.112635331e-03 6.684085424e-03
-1.422764320e-01 -2.332531692e-03 7.872699531e-03
-1.272357816e-01 -9.272239711e-04 5.867015951e-03
-1.121951313e-01 1.349314662e-02 9.107344875e-03
-9.715448090e-02 -7.128561867e-03 5.311383374e-03
-8.211383054e-02 -2.361131260e-03 4.077145913e-03
-6.707318018e-02 1.472646489e-02 6.690516007e-03
-5.203252982e-02 1.812136113e-03 2.301577268e-03
-3.699187947e-02 1.771222974e-02 7.092304382e-03
-2.195122911e-02 1.581885249e-02 1.096830255e-02
-6.910578749e-03 5.064662248e-02 1.926991637e-02
8.130071609e-03 7.106865404e-02 2.505772743e-02
2.317072197e-02 -5.814183314e-03 7.885758902e-03
3.821137233e-02 9.608243692e-03 1.440116069e-02
5.325202268e-02 -1.171542217e-03 1.073117474e-02
6.829267304e-02 2.479554786e-03 7.789968761e-03
8.333332340e-02 1.348819332e-02 1.056845897e-02
9.837397376e-02 3.051693112e-03 6.558627379e-03
1.134146241e-01 -5.877555189e-03 3.096738866e-03
1.284552745e-01 -3.151686789e-03 1.370089954e-02
1.434959248e-01 -2.901038517e-03 1.017388501e-02
1.585365752e-01 -5.017745646e-03 1.195862051e-02
1.735772255e-01 1.018100003e-02 6.898554348e-03
1.886178759e-01 -3.236023620e-03 1.244996674e-02
2.036585263e-01 -1.516405049e-02 5.589654733e-03
2.186991766e-01 4.010768911e-02 1.714432552e-02
2.337398270e-01 -1.697342981e-04 1.235785045e-02
2.487804773e-01 9.629702189e-03 2.676102949e-02
2.638211277e-01 -1.454373058e-03 9.249424906e-03
2.788617781e-01 -9.928626161e-03 8.878177692e-03
2.939024284e-01 -8.810366099e-03 6.916323899e-03
3.089430788e-01 1.167259590e-02 1.193809938e-02
3.239837291e-01 2.214840661e-02 1.778323867e-02
3.390243795e-01 1.363100031e-02 1.744419996e-02
3.540650298e-01 1.455223683e-02 1.350797292e-02
3.691056802e-01 5.901955595e-02 2.346732827e-02
3.841463306e-01 6.704837740e-02 2.304125675e-02
3.991869809e-01 -3.703121345e-03 2.002794332e-02
4.142276313e-01 -2.948353316e-02 2.307407297e-02
4.292682816e-01 2.533243144e-02 2.614246431e-02
4.443089320e-01 3.514027049e-02 1.925126375e-02
4.593495824e-01 2.758043483e-02 2.438981379e-02
4.743902327e-01 2.194139489e-02 2.413884960e-02
4.894308831e-01 3.126940571e-02 2.567586926e-02
5.044715334e-01 3.779573338e-02 1.971479527e-02
5.195121838e-01 1.951851427e-02 3.527853842e-02
5.345528341e-01 3.206661046e-02 3.319820727e-02
