# MSlice Cut of workspace "PLET_thf_background_summed_1.05meV_coh_rings"
# Cut axis: DeltaE,-3.0,0.699999988079071,0.014979757368564606
# Integration axis: |Q|,0.7999999999999999,0.8999999999999999,0.0
# (Energy Transfer (meV)) (Signal) (Error)
-3.000000000e+00 -1.475438510e-04 1.663793734e-04
-2.984959350e+00 -1.271449072e-03 7.630568705e-04
-2.969918699e+00 0.000000000e+00 0.000000000e+00
-2.954878049e+00 2.256577771e-03 9.832118145e-04
-2.939837399e+00 -9.368680973e-04 1.101156267e-03
-2.924796748e+00 -4.904828070e-04 4.528403115e-04
-2.909756098e+00 -1.271093120e-03 1.267867123e-03
-2.894715447e+00 0.000000000e+00 0.000000000e+00
-2.879674797e+00 0.000000000e+00 0.000000000e+00
-2.864634147e+00 7.536701604e-04 5.414311140e-04
-2.849593496e+00 -1.130146792e-03 1.328881124e-03
-2.834552846e+00 1.137653417e-03 9.999390363e-04
-2.819512196e+00 1.176383409e-03 9.837549579e-04
-2.804471545e+00 2.157396334e-03 9.151022556e-04
-2.789430895e+00 1.328435796e-03 1.058606526e-03
-2.774390245e+00 -7.919569689e-04 4.776242404e-04
-2.759349594e+00 0.000000000e+00 0.000000000e+00
-2.744308944e+00 8.287929889e-04 5.102253831e-04
-2.729268294e+00 2.256564114e-03 8.865810808e-04
-2.714227643e+00 1.360885622e-03 6.811573754e-04
-2.699186993e+00 1.217865297e-03 1.058772036e-03
-2.684146342e+00 3.739920975e-04 8.101227035e-04
-2.669105692e+00 -1.610524648e-03 6.243843973e-04
-2.654065042e+00 1.721775905e-03 8.865537642e-04
-2.639024391e+00 1.595238949e-03 9.813894707e-04
-2.623983741e+00 1.560151755e-03 8.788777843e-04
-2.608943091e+00 1.471492900e-03 1.161753186e-03
-2.593902440e+00 7.154726697e-04 9.366973877e-04
-2.578861790e+00 -6.693192911e-04 4.003573976e-04
-2.563821140e+00 -7.724446216e-04 6.703062205e-04
-2.548780489e+00 9.832699608e-04 7.942187147e-04
-2.533739839e+00 -1.329357752e-03 6.093877338e-04
-2.518699189e+00 7.658203104e-04 1.076217936e-03
-2.503658538e+00 -4.334181639e-04 3.383486315e-04
-2.488617888e+00 0.000000000e+00 0.000000000e+00
-2.473577237e+00 -7.256114272e-04 6.054763106e-04
-2.458536587e+00 1.539458390e-03 7.147274841e-04
-2.443495937e+00 -1.739417459e-03 7.584895515e-04
-2.428455286e+00 -7.820047251e-04 5.588296186e-04
-2.413414636e+00 0.000000000e+00 0.000000000e+00
-2.398373986e+00 -6.607004430e-04 4.080426746e-04
-2.383333335e+00 4.079532877e-04 3.987676637e-04
-2.368292685e+00 -2.847806723e-04 5.684762724e-04
-2.353252035e+00 -1.167733895e-03 7.624495808e-04
-2.338211384e+00 -8.860699462e-04 5.321251478e-04
-2.323170734e+00 -2.514800936e-03 8.696887834e-04
-2.308130084e+00 2.554215384e-03 1.242575897e-03
-2.293089433e+00 6.647169327e-04 9.548407387e-04
-2.278048783e+00 4.200160194e-04 1.190679890e-03
-2.263008132e+00 0.000000000e+00 0.000000000e+00
-2.247967482e+00 0.000000000e+00 0.000000000e+00
-2.232926832e+00 -9.774869503e-05 1.819892264e-04
-2.217886181e+00 0.000000000e+00 0.000000000e+00
-2.202845531e+00 -6.874203447e-04 4.115899234e-04
-2.187804881e+00 1.512216441e-03 1.331878509e-03
