E- (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.35A-1	E+ (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.35A-1	E- (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.45A-1	E+ (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.45A-1	E- (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.55A-1	E+ (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.55A-1	E- (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.6499999999999999A-1	E+ (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.6499999999999999A-1	E- (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.75A-1	E+ (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.75A-1	E- (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.8499999999999999A-1	E+ (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.8499999999999999A-1	E- (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.95A-1	E+ (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.95A-1	E- (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_1.0499999999999998A-1	E+ (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_1.0499999999999998A-1	E- (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_1.15A-1	E+ (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_1.15A-1	E- (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_1.25A-1	E+ (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_1.25A-1
0.006910578749	4.366730247347448e-05	0.008130071609	7.086707293737817e-05	0.006910578749	8.122267666785817e-05	0.008130071609	6.519292070237531e-05	0.006910578749	6.877529541228433e-05	0.008130071609	4.263779482600336e-05	0.006910578749	-1.350436555730664e-05	0.008130071609	-3.643453393754856e-05	0.006910578749	-2.565821562835499e-06	0.008130071609	1.7602320639463116e-05	0.006910578749	-2.0630445952029662e-05	0.008130071609	2.6477943655922223e-05	0.006910578749	3.2633768352866775e-05	0.008130071609	-1.4737371978756882e-05	0.006910578749	4.674584743368486e-05	0.008130071609	7.714570634786081e-05	0.006910578749	5.3405348183661097e-05	0.008130071609	-1.4080205258245436e-05	0.006910578749	2.5922667563062446e-05	0.008130071609	-1.8052654566693237e-06
0.02195122911	2.5055834493316862e-05	0.02317072197	5.600536782798528e-05	0.02195122911	0.00016736202174596354	0.02317072197	1.1718800598500502e-06	0.02195122911	-2.9208463485839913e-05	0.02317072197	-4.27049353636118e-06	0.02195122911	-5.382361711538099e-06	0.02317072197	5.4386009267346084e-05	0.02195122911	8.403597241355676e-06	0.02317072197	3.0503621675587635e-05	0.02195122911	-0.00013018672610883657	0.02317072197	-5.985396530853124e-06	0.02195122911	2.7329086122817217e-05	0.02317072197	1.6522759201863084e-05	0.02195122911	4.639282216711704e-05	0.02317072197	-1.7981618098828606e-05	0.02195122911	1.6468449600377776e-06	0.02317072197	8.124750860485222e-05	0.02195122911	3.5881874070843134e-05	0.02317072197	2.517455614459534e-06
0.03699187947	5.817193100116462e-05	0.03821137233	-4.4658600573442816e-05	0.03699187947	3.724306889155826e-05	0.03821137233	-1.1109536147075079e-05	0.03699187947	-3.156027633994705e-05	0.03821137233	0.00013197451426577543	0.03699187947	0.0	0.03821137233	4.041323165177257e-06	0.03699187947	2.5445463160743747e-05	0.03821137233	-2.568909109611702e-05	0.03699187947	4.5689685869149204e-05	0.03821137233	8.912146298431496e-05	0.03699187947	8.950832000449923e-05	0.03821137233	-6.16728747433057e-05	0.03699187947	8.756599101248273e-05	0.03821137233	4.898897214907213e-05	0.03699187947	4.871341271260397e-06	0.03821137233	-4.33216701314111e-05	0.03699187947	3.607953003963638e-05	0.03821137233	5.799813551041481e-05
0.05203252982	-7.311271978343991e-05	0.05325202268	8.189986982091971e-05	0.05203252982	7.481851538267688e-05	0.05325202268	1.7417982002515053e-05	0.05203252982	-2.5252996261571153e-05	0.05325202268	3.77369241857469e-05	0.05203252982	1.4803434307695226e-05	0.05325202268	9.103283139227611e-05	0.05203252982	-2.6310247085446718e-05	0.05325202268	-1.701504671633231e-06	0.05203252982	6.891080287607551e-05	0.05325202268	0.00010858651279466623	0.05203252982	1.2885911805323471e-05	0.05325202268	2.965148512136658e-05	0.05203252982	1.2605511256237517e-05	0.05325202268	-8.32179376257944e-06	0.05203252982	5.6983660658897326e-05	0.05325202268	0.00011227155377816864	0.05203252982	7.20627827302515e-05	0.05325202268	0.00015730362905167842
0.06707318018	-6.785810694903678e-06	0.06829267304	0.00011601643045014384	0.06707318018	7.188877726531428e-06	0.06829267304	2.4158135086080364e-05	0.06707318018	-8.06606338814261e-05	0.06829267304	8.238871873187081e-05	0.06707318018	-0.0001660886012200589	0.06829267304	5.327783054383717e-05	0.06707318018	0.0001310124679780844	0.06829267304	0.00010024067636208152	0.06707318018	-6.744583816757612e-05	0.06829267304	5.893469755207183e-06	0.06707318018	-7.056722684062527e-05	0.06829267304	2.5436481883693862e-05	0.06707318018	0.0001320933642780264	0.06829267304	2.2580416402484133e-05	0.06707318018	-3.55027264713634e-05	0.06829267304	-8.07969019655727e-05	0.06707318018	2.6445627662247323e-05	0.06829267304	5.116993370383375e-05
0.08211383054	0.0001272863357252272	0.0833333234	-0.00013814219325514152	0.08211383054	6.288688469014638e-05	0.0833333234	-1.8376429405515308e-05	0.08211383054	9.318268921812467e-05	0.0833333234	-3.339711297721124e-05	0.08211383054	0.0002871262179712277	0.0833333234	-0.00036390699687804885	0.08211383054	8.550848303472205e-05	0.0833333234	-4.632366167551509e-05	0.08211383054	-9.558089031826549e-05	0.0833333234	-0.00011375150123382653	0.08211383054	6.40251778427303e-05	0.0833333234	-1.6073535697284102e-05	0.08211383054	-2.5936355119487185e-05	0.0833333234	0.00014983658081313016	0.08211383054	-1.2534916104699628e-05	0.0833333234	-3.083320232070237e-05	0.08211383054	6.880455443702824e-05	0.0833333234	1.718565708358119e-05
0.0971544809	-0.0001781656988979862	0.09837397376	5.619830875839511e-05	0.0971544809	-1.1355813464598669e-05	0.09837397376	0.0001710223496762061	0.0971544809	1.804316765416882e-05	0.09837397376	-3.164156913284829e-05	0.0971544809	-1.8128085939456811e-06	0.09837397376	-9.962462182343052e-05	0.0971544809	-8.145109242484666e-05	0.09837397376	0.00037463049433769614	0.0971544809	2.0491304548256538e-05	0.09837397376	1.533092513660653e-06	0.0971544809	-5.770064307092781e-06	0.09837397376	0.0002878961276550897	0.0971544809	-9.267789868764818e-05	0.09837397376	4.0006236779941306e-05	0.0971544809	0.00011068784525999933	0.09837397376	0.00015616403244202458	0.0971544809	6.036929091728381e-05	0.09837397376	0.00012602617739016663
0.1121951313	1.6719820723243155e-05	0.1134146241	8.228756180991359e-05	0.1121951313	9.30641694738898e-05	0.1134146241	0.0002236361691411753	0.1121951313	0.00013946360599234643	0.1134146241	-3.432650248574321e-05	0.1121951313	-5.503448347113335e-05	0.1134146241	-0.00016714340608684947	0.1121951313	-6.8208706856733154e-06	0.1134146241	4.685506594708885e-05	0.1121951313	-2.5668071489095834e-05	0.1134146241	0.00020459447329534028	0.1121951313	6.654671636625409e-05	0.1134146241	-6.486836755464205e-05	0.1121951313	0.00020264579852600034	0.1134146241	-8.880423465114458e-05	0.1121951313	7.152480586834958e-05	0.1134146241	-8.424129768311638e-05	0.1121951313	0.0002366464305873923	0.1134146241	-0.00019725813977657713
0.1272357816	0.00020773694387832755	0.1284552745	4.4376880300988296e-05	0.1272357816	8.72337071317492e-05	0.1284552745	0.000411587893682474	0.1272357816	0.00015935408121792673	0.1284552745	-0.000392968619893082	0.1272357816	-0.0004234489233632295	0.1284552745	0.00013110202693176906	0.1272357816	-0.00012254855857869758	0.1284552745	0.0002630743973353888	0.1272357816	0.0001487040507071639	0.1284552745	-9.725765368813568e-05	0.1272357816	-0.000120082253779433	0.1284552745	-0.00011010959621154284	0.1272357816	-1.5797312680075603e-05	0.1284552745	-5.391680927839925e-05	0.1272357816	7.323102501982681e-06	0.1284552745	-0.00018491101994828817	0.1272357816	1.1626524853101888e-05	0.1284552745	5.8852652972415035e-05
0.142276432	0.0001875012043084769	0.1434959248	6.463725276216428e-05	0.142276432	3.6284824591075096e-05	0.1434959248	0.00018779393017546658	0.142276432	0.00014320637708079646	0.1434959248	0.00046773112865914495	0.142276432	0.0003011581496887507	0.1434959248	-0.0001593514326864172	0.142276432	1.9086742731049406e-05	0.1434959248	-4.477126576677952e-06	0.142276432	-0.0002513036517430229	0.1434959248	-9.935492928128498e-05	0.142276432	0.00010883418749356506	0.1434959248	0.0001500147013034919	0.142276432	-4.445174184068832e-05	0.1434959248	-5.542217382364801e-05	0.142276432	9.270427148879032e-05	0.1434959248	-0.0001664860053239953	0.142276432	-4.552464596807807e-05	0.1434959248	0.0003039460721949336
