# MSlice Cut of workspace "PLET_thf_background_summed_1.05meV_coh_rings"
# Cut axis: DeltaE,-3.0,0.699999988079071,0.014979757368564606
# Integration axis: |Q|,1.0999999999999999,1.2,0.0
# (Energy Transfer (meV)) (Signal) (Error)
-3.000000000e+00 1.050616319e-03 9.420124091e-04
-2.984959350e+00 3.299684404e-03 1.644846129e-03
-2.969918699e+00 -3.268598268e-03 1.360144587e-03
-2.954878049e+00 -1.324718081e-03 8.053580081e-04
-2.939837399e+00 2.693967697e-03 1.661542905e-03
-2.924796748e+00 4.088820893e-03 1.921353431e-03
-2.909756098e+00 0.000000000e+00 0.000000000e+00
-2.894715447e+00 9.926832030e-04 1.369897642e-03
-2.879674797e+00 3.655596523e-03 2.293536266e-03
-2.864634147e+00 3.545284336e-04 5.026930285e-04
-2.849593496e+00 0.000000000e+00 0.000000000e+00
-2.834552846e+00 2.589695509e-03 1.961222143e-03
-2.819512196e+00 0.000000000e+00 0.000000000e+00
-2.804471545e+00 -3.094271414e-04 4.526578254e-04
-2.789430895e+00 -1.556178041e-04 3.211439771e-04
-2.774390245e+00 0.000000000e+00 0.000000000e+00
-2.759349594e+00 0.000000000e+00 0.000000000e+00
-2.744308944e+00 0.000000000e+00 0.000000000e+00
-2.729268294e+00 -6.469979590e-04 5.610023121e-04
-2.714227643e+00 -7.019196512e-04 5.845774958e-04
-2.699186993e+00 0.000000000e+00 0.000000000e+00
-2.684146342e+00 0.000000000e+00 0.000000000e+00
-2.669105692e+00 3.554168559e-03 1.789907419e-03
-2.654065042e+00 -9.798530428e-04 1.082440882e-03
-2.639024391e+00 0.000000000e+00 0.000000000e+00
-2.623983741e+00 -8.741262366e-04 1.319847046e-03
-2.608943091e+00 1.084883054e-03 8.996423757e-04
-2.593902440e+00 0.000000000e+00 0.000000000e+00
-2.578861790e+00 -1.421755058e-03 8.534469244e-04
-2.563821140e+00 -1.431821868e-03 8.595796779e-04
-2.548780489e+00 -1.082436870e-03 2.411943675e-03
-2.533739839e+00 2.269957684e-03 1.656461947e-03
-2.518699189e+00 0.000000000e+00 0.000000000e+00
-2.503658538e+00 -1.516188391e-03 9.123292251e-04
-2.488617888e+00 2.308450980e-03 1.969541217e-03
-2.473577237e+00 0.000000000e+00 0.000000000e+00
-2.458536587e+00 -1.702280432e-03 1.285885265e-03
-2.443495937e+00 -5.199664670e-04 1.979751356e-03
-2.428455286e+00 -7.804384743e-04 6.804423312e-04
-2.413414636e+00 -2.434934685e-03 1.735843067e-03
-2.398373986e+00 5.439721717e-04 7.534956472e-04
-2.383333335e+00 -4.851658358e-04 2.778599034e-03
-2.368292685e+00 5.511518292e-04 8.874639370e-04
-2.353252035e+00 -2.012308920e-03 1.255252749e-03
-2.338211384e+00 -3.023677691e-04 3.936201752e-04
-2.323170734e+00 -1.125180819e-03 7.590408359e-04
-2.308130084e+00 0.000000000e+00 0.000000000e+00
-2.293089433e+00 0.000000000e+00 0.000000000e+00
-2.278048783e+00 0.000000000e+00 0.000000000e+00
-2.263008132e+00 1.292240997e-03 1.251184581e-03
-2.247967482e+00 0.000000000e+00 0.000000000e+00
-2.232926832e+00 0.000000000e+00 0.000000000e+00
-2.217886181e+00 0.000000000e+00 0.000000000e+00
-2.202845531e+00 0.000000000e+00 0.000000000e+00
-2.187804881e+00 0.000000000e+00 0.000000000e+00
-2.172764230e+00 -1.026612310e-03 8.065629057e-04
-2.157723580e+00 3.588530783e-03 2.292916283e-03
-2.142682930e+00 0.000000000e+00 0.000000000e+00
-2.127642279e+00 1.275034481e-03 1.802997123e-03
-2.112601629e+00 0.000000000e+00 0.000000000e+00
-2.097560979e+00 -1.356612895e-03 8.831899980e-04
-2.082520328e+00 2.194508808e-03 1.619829440e-03
-2.067479678e+00 -1.222227408e-03 1.236553751e-03
-2.052439027e+00 0.000000000e+00 0.000000000e+00
-2.037398377e+00 0.000000000e+00 0.000000000e+00
-2.022357727e+00 -2.154343915e-03 1.288376442e-03
-2.007317076e+00 0.000000000e+00 0.000000000e+00
-1.992276426e+00 -1.430677339e-03 2.033528527e-03
-1.977235776e+00 0.000000000e+00 0.000000000e+00
-1.962195125e+00 3.838447145e-03 2.385607672e-03
-1.947154475e+00 0.000000000e+00 0.000000000e+00
-1.932113825e+00 0.000000000e+00 0.000000000e+00
-1.917073174e+00 0.000000000e+00 0.000000000e+00
-1.902032524e+00 -6.433812487e-04 7.165715418e-04
-1.886991874e+00 -3.385980104e-04 5.200496121e-04
-1.871951223e+00 0.000000000e+00 0.000000000e+00
-1.856910573e+00 2.854305086e-03 1.779054208e-03
