# MSlice Cut of workspace "PLET_thf_background_summed_1.05meV_coh_rings"
# Cut axis: DeltaE,-3.0,0.699999988079071,0.014979757368564606
# Integration axis: |Q|,1.2,1.3,0.0
# (Energy Transfer (meV)) (Signal) (Error)
-3.000000000e+00 0.000000000e+00 0.000000000e+00
-2.984959350e+00 -1.140728620e-04 1.257420516e-03
-2.969918699e+00 -2.091924349e-05 1.163092575e-04
-2.954878049e+00 5.843750207e-04 1.847997748e-03
-2.939837399e+00 4.751456206e-05 2.084450518e-04
-2.924796748e+00 0.000000000e+00 0.000000000e+00
-2.909756098e+00 -1.502818288e-03 9.010256168e-04
-2.894715447e+00 2.115538430e-03 1.297768157e-03
-2.879674797e+00 1.973830353e-03 1.208123858e-03
-2.864634147e+00 -2.343320415e-03 1.557725231e-03
-2.849593496e+00 1.840615724e-03 1.191681161e-03
-2.834552846e+00 -9.645011923e-04 7.433064113e-04
-2.819512196e+00 0.000000000e+00 0.000000000e+00
-2.804471545e+00 1.470465845e-03 1.806061560e-03
-2.789430895e+00 -6.203481099e-04 6.271916704e-04
-2.774390245e+00 0.000000000e+00 0.000000000e+00
-2.759349594e+00 0.000000000e+00 0.000000000e+00
-2.744308944e+00 -1.354542798e-03 8.136197390e-04
-2.729268294e+00 -4.750440217e-04 4.806797510e-04
-2.714227643e+00 0.000000000e+00 0.000000000e+00
-2.699186993e+00 0.000000000e+00 0.000000000e+00
-2.684146342e+00 3.090650112e-03 1.899127732e-03
-2.669105692e+00 9.904960218e-05 1.436783834e-03
-2.654065042e+00 -1.393704096e-03 1.201658138e-03
-2.639024391e+00 0.000000000e+00 0.000000000e+00
-2.623983741e+00 1.545434030e-03 1.549840051e-03
-2.608943091e+00 -9.017629830e-04 7.266913085e-04
-2.593902440e+00 0.000000000e+00 0.000000000e+00
-2.578861790e+00 0.000000000e+00 0.000000000e+00
-2.563821140e+00 2.055166796e-03 1.265294144e-03
-2.548780489e+00 2.715207659e-03 2.043506045e-03
-2.533739839e+00 -2.706254226e-03 1.241333823e-03
-2.518699189e+00 -2.163698717e-03 1.090816144e-03
-2.503658538e+00 1.654378174e-03 1.748461934e-03
-2.488617888e+00 -3.273838602e-03 1.357160498e-03
-2.473577237e+00 -1.595206880e-03 9.467933451e-04
-2.458536587e+00 -2.566635102e-03 1.225773646e-03
-2.443495937e+00 -1.401925520e-04 1.109710466e-03
-2.428455286e+00 1.054995971e-03 1.717035385e-03
-2.413414636e+00 4.748789879e-03 2.377310658e-03
-2.398373986e+00 -1.183427425e-03 1.503551635e-03
-2.383333335e+00 7.770482332e-04 8.657312313e-04
-2.368292685e+00 -4.216327289e-04 1.873507691e-03
-2.353252035e+00 6.616453110e-05 1.535620784e-03
-2.338211384e+00 -6.126660313e-04 1.277969906e-03
-2.323170734e+00 -6.373296155e-04 2.155159330e-03
-2.308130084e+00 6.994317351e-06 7.324145281e-05
-2.293089433e+00 0.000000000e+00 0.000000000e+00
-2.278048783e+00 0.000000000e+00 0.000000000e+00
-2.263008132e+00 3.685018081e-03 1.871081533e-03
-2.247967482e+00 0.000000000e+00 0.000000000e+00
-2.232926832e+00 0.000000000e+00 0.000000000e+00
-2.217886181e+00 -1.828026193e-03 1.093670021e-03
-2.202845531e+00 0.000000000e+00 0.000000000e+00
-2.187804881e+00 2.467113871e-03 1.632466229e-03
-2.172764230e+00 -3.759315324e-04 9.021787726e-04
-2.157723580e+00 0.000000000e+00 0.000000000e+00
-2.142682930e+00 2.580512076e-03 1.658864901e-03
-2.127642279e+00 0.000000000e+00 0.000000000e+00
-2.112601629e+00 2.002944125e-03 1.250503531e-03
-2.097560979e+00 2.087935132e-03 1.680618705e-03
-2.082520328e+00 -2.543324195e-03 1.186715805e-03
-2.067479678e+00 -1.602946865e-03 9.604385231e-04
-2.052439027e+00 2.838186897e-03 1.785426283e-03
-2.037398377e+00 2.670548030e-03 1.900630792e-03
-2.022357727e+00 8.901667847e-05 1.149997257e-03
-2.007317076e+00 -3.002109250e-03 1.307053199e-03
-1.992276426e+00 1.607750510e-04 9.089714911e-04
-1.977235776e+00 1.816660090e-03 1.323773320e-03
-1.962195125e+00 2.659797405e-03 1.694099436e-03
