# MSlice Cut of workspace "PLET_thf_background_summed_1.05meV_coh_rings"
# Cut axis: DeltaE,-3.0,0.699999988079071,0.014979757368564606
# Integration axis: |Q|,0.6,0.7,0.0
# (Energy Transfer (meV)) (Signal) (Error)
-3.000000000e+00          nan          nan
-2.984959350e+00          nan          nan
-2.969918699e+00          nan          nan
-2.954878049e+00          nan          nan
-2.939837399e+00          nan          nan
-2.924796748e+00          nan          nan
-2.909756098e+00          nan          nan
-2.894715447e+00          nan          nan
-2.879674797e+00          nan          nan
-2.864634147e+00          nan          nan
-2.849593496e+00          nan          nan
-2.834552846e+00          nan          nan
-2.819512196e+00          nan          nan
-2.804471545e+00          nan          nan
-2.789430895e+00          nan          nan
-2.774390245e+00          nan          nan
-2.759349594e+00          nan          nan
-2.744308944e+00          nan          nan
-2.729268294e+00 0.000000000e+00 0.000000000e+00
-2.714227643e+00 0.000000000e+00 0.000000000e+00
-2.699186993e+00 0.000000000e+00 0.000000000e+00
-2.684146342e+00 0.000000000e+00 0.000000000e+00
-2.669105692e+00 0.000000000e+00 0.000000000e+00
-2.654065042e+00 0.000000000e+00 0.000000000e+00
-2.639024391e+00 0.000000000e+00 0.000000000e+00
-2.623983741e+00 0.000000000e+00 0.000000000e+00
-2.608943091e+00 0.000000000e+00 0.000000000e+00
-2.593902440e+00 0.000000000e+00 0.000000000e+00
-2.578861790e+00 0.000000000e+00 0.000000000e+00
-2.563821140e+00 0.000000000e+00 0.000000000e+00
-2.548780489e+00 0.000000000e+00 0.000000000e+00
-2.533739839e+00 0.000000000e+00 0.000000000e+00
-2.518699189e+00 0.000000000e+00 0.000000000e+00
-2.503658538e+00 0.000000000e+00 0.000000000e+00
-2.488617888e+00 0.000000000e+00 0.000000000e+00
-2.473577237e+00 0.000000000e+00 0.000000000e+00
-2.458536587e+00 0.000000000e+00 0.000000000e+00
-2.443495937e+00 0.000000000e+00 0.000000000e+00
-2.428455286e+00 0.000000000e+00 0.000000000e+00
-2.413414636e+00 2.512806988e-02 1.276623929e-02
-2.398373986e+00 0.000000000e+00 0.000000000e+00
-2.383333335e+00 0.000000000e+00 0.000000000e+00
-2.368292685e+00 2.340470286e-03 1.848020650e-03
-2.353252035e+00 0.000000000e+00 0.000000000e+00
-2.338211384e+00 0.000000000e+00 0.000000000e+00
-2.323170734e+00 0.000000000e+00 0.000000000e+00
-2.308130084e+00 -6.386732382e-04 7.521830522e-04
-2.293089433e+00 -3.609406166e-03 1.770849411e-03
