E (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.35A-1	err	E (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.45A-1	err	E (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.55A-1	err	E (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.6499999999999999A-1	err	E (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.75A-1	err	E (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.8499999999999999A-1	err	E (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_0.95A-1	err	E (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_1.0499999999999998A-1	err	E (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_1.15A-1	err	E (meV)	LETPLET_thf_background_summed_1.05meV_coh_rings_1.25A-1	err
-3.0			-3.0			-3.0			-3.0			-3.0	0.0	0.0	-3.0	-0.000147543851	0.0001663793734	-3.0	-0.0001981605857	0.0007788509225	-3.0	-0.000211916248	0.0006210808497	-3.0	0.001050616319	0.0009420124091	-3.0	0.0	0.0
-2.98495935			-2.98495935			-2.98495935			-2.98495935			-2.98495935	0.0	0.0	-2.98495935	-0.001271449072	0.0007630568705	-2.98495935	0.000217672729	0.0005395420495	-2.98495935	0.0005319228015	0.0007042900391	-2.98495935	0.003299684404	0.001644846129	-2.98495935	-0.000114072862	0.001257420516
-2.969918699			-2.969918699			-2.969918699			-2.969918699			-2.969918699	-0.008074037878	0.004865442983	-2.969918699	0.0	0.0	-2.969918699	0.0009894142441	0.0008542334879	-2.969918699	-0.002872812428	0.001559787692	-2.969918699	-0.003268598268	0.001360144587	-2.969918699	-2.091924349e-05	0.0001163092575
-2.954878049			-2.954878049			-2.954878049			-2.954878049			-2.954878049	0.0	0.0	-2.954878049	0.002256577771	0.0009832118145	-2.954878049	0.00108451741	0.0006602422696	-2.954878049	-0.001953846864	0.001135060621	-2.954878049	-0.001324718081	0.0008053580081	-2.954878049	0.0005843750207	0.001847997748
-2.939837399			-2.939837399			-2.939837399			-2.939837399			-2.939837399	0.003168216522	0.002121946443	-2.939837399	-0.0009368680973	0.001101156267	-2.939837399	-0.001071070158	0.0006536089542	-2.939837399	0.001615286828	0.0009928334979	-2.939837399	0.002693967697	0.001661542905	-2.939837399	4.751456206e-05	0.0002084450518
-2.924796748			-2.924796748			-2.924796748			-2.924796748			-2.924796748	0.0	0.0	-2.924796748	-0.000490482807	0.0004528403115	-2.924796748	-0.0008483877287	0.0006438870053	-2.924796748	-0.000480693998	0.0008992447839	-2.924796748	0.004088820893	0.001921353431	-2.924796748	0.0	0.0
-2.909756098			-2.909756098			-2.909756098			-2.909756098			-2.909756098	0.0	0.0	-2.909756098	-0.00127109312	0.001267867123	-2.909756098	0.00021790287	0.0007156000261	-2.909756098	-0.002057724195	0.001232460236	-2.909756098	0.0	0.0	-2.909756098	-0.001502818288	0.0009010256168
-2.894715447			-2.894715447			-2.894715447			-2.894715447			-2.894715447	0.0	0.0	-2.894715447	0.0	0.0	-2.894715447	-9.131378311e-06	0.0008854423502	-2.894715447	-0.0008197517599	0.0007104715795	-2.894715447	0.000992683203	0.001369897642	-2.894715447	0.00211553843	0.001297768157
-2.879674797			-2.879674797			-2.879674797			-2.879674797			-2.879674797	0.0	0.0	-2.879674797	0.0	0.0	-2.879674797	0.0007272877269	0.000493568233	-2.879674797	0.002589423686	0.001589799138	-2.879674797	0.003655596523	0.002293536266	-2.879674797	0.001973830353	0.001208123858
-2.864634147			-2.864634147			-2.864634147			-2.864634147			-2.864634147	0.0	0.0	-2.864634147	0.0007536701604	0.000541431114	-2.864634147	0.001658875551	0.001105987446	-2.864634147	-0.003300962395	0.00130257827	-2.864634147	0.0003545284336	0.0005026930285	-2.864634147	-0.002343320415	0.001557725231
-2.849593496			-2.849593496			-2.849593496			-2.849593496			-2.849593496	-0.0005319465531	0.000552903841	-2.849593496	-0.001130146792	0.001328881124	-2.849593496	-0.0006010923585	0.001314169347	-2.849593496	-0.001991043532	0.0009577749951	-2.849593496	0.0	0.0	-2.849593496	0.001840615724	0.001191681161
-2.834552846			-2.834552846			-2.834552846			-2.834552846			-2.834552846	0.0	0.0	-2.834552846	0.001137653417	0.0009999390363	-2.834552846	0.0001682555591	0.0007363405274	-2.834552846	0.0007637850731	0.001243338675	-2.834552846	0.002589695509	0.001961222143	-2.834552846	-0.0009645011923	0.0007433064113
-2.819512196			-2.819512196			-2.819512196			-2.819512196			-2.819512196	0.0	0.0	-2.819512196	0.001176383409	0.0009837549579	-2.819512196	-0.001063024222	0.000690832156	-2.819512196	0.0	0.0	-2.819512196	0.0	0.0	-2.819512196	0.0	0.0
-2.804471545			-2.804471545			-2.804471545			-2.804471545			-2.804471545	0.0	0.0	-2.804471545	0.002157396334	0.0009151022556	-2.804471545	0.001966857777	0.0008957088166	-2.804471545	-0.0008780055801	0.0007584950202	-2.804471545	-0.0003094271414	0.0004526578254	-2.804471545	0.001470465845	0.00180606156
-2.789430895			-2.789430895			-2.789430895			-2.789430895			-2.789430895	0.0001077536486	0.001354588792	-2.789430895	0.001328435796	0.001058606526	-2.789430895	-0.0008499234611	0.0005083352648	-2.789430895	-0.0004924721702	0.000567885835	-2.789430895	-0.0001556178041	0.0003211439771	-2.789430895	-0.0006203481099	0.0006271916704
-2.774390245			-2.774390245			-2.774390245			-2.774390245			-2.774390245	0.0	0.0	-2.774390245	-0.0007919569689	0.0004776242404	-2.774390245	0.0009986491743	0.000612592966	-2.774390245	0.0	0.0	-2.774390245	0.0	0.0	-2.774390245	0.0	0.0
-2.759349594			-2.759349594			-2.759349594			-2.759349594			-2.759349594	0.0	0.0	-2.759349594	0.0	0.0	-2.759349594	-0.0007858294946	0.0004708417979	-2.759349594	0.0	0.0	-2.759349594	0.0	0.0	-2.759349594	0.0	0.0
-2.744308944			-2.744308944			-2.744308944			-2.744308944			-2.744308944	-0.00126429359	0.0007613984693	-2.744308944	0.0008287929889	0.0005102253831	-2.744308944	0.0	0.0	-2.744308944	0.0	0.0	-2.744308944	0.0	0.0	-2.744308944	-0.001354542798	0.000813619739
-2.729268294			-2.729268294			-2.729268294			-2.729268294	0.0	0.0	-2.729268294	0.0	0.0	-2.729268294	0.002256564114	0.0008865810808	-2.729268294	-8.193588056e-05	0.0007413629433	-2.729268294	0.0009370673775	0.0008317011551	-2.729268294	-0.000646997959	0.0005610023121	-2.729268294	-0.0004750440217	0.000480679751
-2.714227643			-2.714227643			-2.714227643			-2.714227643	0.0	0.0	-2.714227643	0.001692689286	0.001040451812	-2.714227643	0.001360885622	0.0006811573754	-2.714227643	0.001562549497	0.001262269603	-2.714227643	-0.0003125752263	0.001310125111	-2.714227643	-0.0007019196512	0.0005845774958	-2.714227643	0.0	0.0
-2.699186993			-2.699186993			-2.699186993			-2.699186993	0.0	0.0	-2.699186993	0.0005244454032	0.00116968036	-2.699186993	0.001217865297	0.001058772036	-2.699186993	-0.001081765929	0.001503532996	-2.699186993	0.0001332557775	0.0002788857063	-2.699186993	0.0	0.0	-2.699186993	0.0	0.0
-2.684146342			-2.684146342			-2.684146342			-2.684146342	0.0	0.0	-2.684146342	-0.002488681408	0.001056793092	-2.684146342	0.0003739920975	0.0008101227035	-2.684146342	-2.238699267e-05	0.0009400035353	-2.684146342	0.0	0.0	-2.684146342	0.0	0.0	-2.684146342	0.003090650112	0.001899127732
-2.669105692			-2.669105692			-2.669105692			-2.669105692	0.0	0.0	-2.669105692	0.003397243671	0.002072498308	-2.669105692	-0.001610524648	0.0006243843973	-2.669105692	-0.0008221673293	0.0007736497885	-2.669105692	0.001943570441	0.00121155127	-2.669105692	0.003554168559	0.001789907419	-2.669105692	9.904960218e-05	0.001436783834
-2.654065042			-2.654065042			-2.654065042			-2.654065042	0.0	0.0	-2.654065042	-0.0002969284431	0.0003287089877	-2.654065042	0.001721775905	0.0008865537642	-2.654065042	0.0005386683785	0.0005906690626	-2.654065042	0.001760797943	0.001082560904	-2.654065042	-0.0009798530428	0.001082440882	-2.654065042	-0.001393704096	0.001201658138
-2.639024391			-2.639024391			-2.639024391			-2.639024391	0.0	0.0	-2.639024391	-0.004315866472	0.002056841397	-2.639024391	0.001595238949	0.0009813894707	-2.639024391	6.259984205e-05	0.001140954839	-2.639024391	-0.001352919733	0.0007965689521	-2.639024391	0.0	0.0	-2.639024391	0.0	0.0
-2.623983741			-2.623983741			-2.623983741			-2.623983741	0.0	0.0	-2.623983741	0.001131883776	0.001333788693	-2.623983741	0.001560151755	0.0008788777843	-2.623983741	0.00512371197	0.001604319813	-2.623983741	-0.001789238105	0.001019402737	-2.623983741	-0.0008741262366	0.001319847046	-2.623983741	0.00154543403	0.001549840051
-2.608943091			-2.608943091			-2.608943091			-2.608943091	0.0	0.0	-2.608943091	0.00157319876	0.001308251506	-2.608943091	0.0014714929	0.001161753186	-2.608943091	-0.001068245738	0.0006393732162	-2.608943091	-3.81845229e-05	0.0001435723512	-2.608943091	0.001084883054	0.0008996423757	-2.608943091	-0.000901762983	0.0007266913085
-2.59390244			-2.59390244			-2.59390244			-2.59390244	0.0	0.0	-2.59390244	-0.00042355126	0.0003362020499	-2.59390244	0.0007154726697	0.0009366973877	-2.59390244	-0.001202698968	0.0009011724647	-2.59390244	-0.001155571137	0.001698926011	-2.59390244	0.0	0.0	-2.59390244	0.0	0.0
-2.57886179			-2.57886179			-2.57886179			-2.57886179	0.0	0.0	-2.57886179	-0.003532652208	0.001719803249	-2.57886179	-0.0006693192911	0.0004003573976	-2.57886179	-0.0001659192278	0.001204440291	-2.57886179	0.0	0.0	-2.57886179	-0.001421755058	0.0008534469244	-2.57886179	0.0	0.0
-2.56382114			-2.56382114			-2.56382114			-2.56382114	0.0	0.0	-2.56382114	0.002943145781	0.001213129451	-2.56382114	-0.0007724446216	0.0006703062205	-2.56382114	0.0006970840911	0.001045708216	-2.56382114	-0.002044231522	0.001223904816	-2.56382114	-0.001431821868	0.0008595796779	-2.56382114	0.002055166796	0.001265294144
-2.548780489			-2.548780489			-2.548780489			-2.548780489	0.0	0.0	-2.548780489	0.0002914463743	0.0003724023534	-2.548780489	0.0009832699608	0.0007942187147	-2.548780489	0.0	0.0	-2.548780489	-0.003551542598	0.002129380837	-2.548780489	-0.00108243687	0.002411943675	-2.548780489	0.002715207659	0.002043506045
-2.533739839			-2.533739839			-2.533739839			-2.533739839	0.0	0.0	-2.533739839	-0.003662415197	0.001613284561	-2.533739839	-0.001329357752	0.0006093877338	-2.533739839	0.000582650919	0.00123961416	-2.533739839	-0.001638380008	0.0009859958639	-2.533739839	0.002269957684	0.001656461947	-2.533739839	-0.002706254226	0.001241333823
-2.518699189			-2.518699189			-2.518699189			-2.518699189	0.0	0.0	-2.518699189	0.001234605033	0.00114515357	-2.518699189	0.0007658203104	0.001076217936	-2.518699189	0.003913382509	0.00171808229	-2.518699189	-0.001091050558	0.001463281786	-2.518699189	0.0	0.0	-2.518699189	-0.002163698717	0.001090816144
-2.503658538			-2.503658538			-2.503658538			-2.503658538	0.0	0.0	-2.503658538	0.001900905591	0.001177345265	-2.503658538	-0.0004334181639	0.0003383486315	-2.503658538	0.005938653049	0.002156370994	-2.503658538	-0.0003368402505	0.001414185819	-2.503658538	-0.001516188391	0.0009123292251	-2.503658538	0.001654378174	0.001748461934
-2.488617888			-2.488617888			-2.488617888			-2.488617888	0.0	0.0	-2.488617888	0.003096032501	0.001901729674	-2.488617888	0.0	0.0	-2.488617888	-0.0009897790732	0.0005931248375	-2.488617888	0.00270394053	0.001732153698	-2.488617888	0.00230845098	0.001969541217	-2.488617888	-0.003273838602	0.001357160498
-2.473577237			-2.473577237			-2.473577237			-2.473577237	0.0	0.0	-2.473577237	0.003037945588	0.001345624996	-2.473577237	-0.0007256114272	0.0006054763106	-2.473577237	0.0	0.0	-2.473577237	-0.0003596534046	0.0004553202632	-2.473577237	0.0	0.0	-2.473577237	-0.00159520688	0.0009467933451
-2.458536587			-2.458536587			-2.458536587			-2.458536587	0.0	0.0	-2.458536587	0.0	0.0	-2.458536587	0.00153945839	0.0007147274841	-2.458536587	-0.001442366395	0.0008673561725	-2.458536587	-0.005015312644	0.001823348805	-2.458536587	-0.001702280432	0.001285885265	-2.458536587	-0.002566635102	0.001225773646
-2.443495937			-2.443495937			-2.443495937			-2.443495937	0.0	0.0	-2.443495937	0.0	0.0	-2.443495937	-0.001739417459	0.0007584895515	-2.443495937	-0.003786838848	0.001518460262	-2.443495937	0.002840223066	0.001850525498	-2.443495937	-0.000519966467	0.001979751356	-2.443495937	-0.000140192552	0.001109710466
-2.428455286			-2.428455286			-2.428455286			-2.428455286	0.0	0.0	-2.428455286	0.0	0.0	-2.428455286	-0.0007820047251	0.0005588296186	-2.428455286	-0.001374925705	0.0008032382259	-2.428455286	-0.000462207502	0.0005254096834	-2.428455286	-0.0007804384743	0.0006804423312	-2.428455286	0.001054995971	0.001717035385
